env_code	pop_code	line_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
IA13	1	E10	2153.705	2171.445	2037.96	2197.887
IA14	1	E10	1557.441	1509.542	1634.3785	2265.151
KS11	1	E10	2911.188	2994.791	2928.19	2049.515
KS12	1	E10	3392.113	3236.299	3080.69	2024.099
PR11	1	E10	1633.32	1533.932	1464.7108	2293.429
PR12	1	E10	1538.877	1583.331	1409.7734	2302.585
PR14S	1	E10	2211.864	2290.735	2669.58	2092.617
IA13	1	E100	1900.863	1906.995	1863.785	1915.811
IA14	1	E100	1732.97	1723.086	1634.3785	1954.046
KS11	1	E100	2163.099	2185.907	2152.05	1867.767
KS12	1	E100	2303.164	2244.409	2229.57	1854.847
PR11	1	E100	1666.617	1628.196	1830.61	1921.34
PR12	1	E100	1716.577	1733.976	1595.988	1960.444
PR14S	1	E100	1924.862	1950.753	2052.27	1884.397
IA13	1	E101	1971.2	1983.644	1845.6053	2001.601
IA14	1	E101	1563.913	1539.613	1579.9387	2045.879
KS11	1	E101	2472.5	2516.984	2525.09	1888.354
KS12	1	E101	2713.928	2609.095	2693.47	1860.29
PR11	1	E101	1564.458	1497.953	1606.1698	2041.507
PR12	1	E101	1514.632	1555.849	1512.9183	2057.049
PR14S	1	E101	2043.851	2098.373	2092.02	1960.532
IA13	1	E102	1802.289	1811.873	1734.53	1826.021
IA14	1	E102	1512.018	1489.989	1438.68	1875.329
KS11	1	E102	2173.721	2212.047	2285.5788	1734.18
KS12	1	E102	2448.88	2364.635	2315.11	1729.258
PR11	1	E102	1501.533	1446.836	1488.0238	1867.105
PR12	1	E102	1427.11	1456.729	1502.5346	1864.687
PR14S	1	E102	1858.936	1902.277	1926.1987	1794.076
IA13	1	E103	2255.324	2277.289	2097.98	2309.328
IA14	1	E103	1514.092	1464.307	1645.4103	2384.756
KS11	1	E103	3123.938	3206.5	3307.95	2107.666
KS12	1	E103	3674.189	3481.319	3467.31	2081.106
PR11	1	E103	1584.239	1467.523	1501.4585	2408.748
PR12	1	E103	1464.421	1531.597	1428.118	2420.971
PR14S	1	E103	2389.129	2486.832	2505.72	2241.371
IA13	1	E104	2056.401	2073.563	1963.83	2098.927
IA14	1	E104	1497.803	1455.225	1525.499	2171.983
KS11	1	E104	2615.126	2671.905	3143.21	1902.364
KS12	1	E104	3330.757	3159.395	2881.29	1946.017
PR11	1	E104	1533.662	1437.014	1464.7108	2182.114
PR12	1	E104	1397.739	1449.433	1502.5346	2175.81
PR14S	1	E104	2197.434	2277.09	2076.32	2080.179
IA13	1	E105	1845.518	1854.667	1953.0933	1866.82
IA14	1	E105	1597.354	1594.184	1579.9387	1929.012
KS11	1	E105	2284.025	2303.075	2139.52	1835.748
KS12	1	E105	2186.972	2124.511	2554.95	1766.51
PR11	1	E105	1555.029	1517.288	1716.41	1906.267
PR12	1	E105	1546.391	1589.512	1574.5283	1929.914
PR14S	1	E105	1979.489	2017.332	1635.57	1919.74
IA13	1	E106	2023.043	2035.919	1967.87	2054.212
IA14	1	E106	1608.664	1586.859	1654.52	2106.437
KS11	1	E106	2574.941	2618.642	2545.48	1957.944
KS12	1	E106	2745.518	2639.855	2815.32	1912.97
PR11	1	E106	1610.441	1545.074	1678.48	2102.444
PR12	1	E106	1584.115	1628.379	1523.302	2128.307
