line_code	env_code	Yprd	Yobs	Rep
E10	PR12	1499.935	1409.7734	1
E102	PR12	1506.256	1502.5346	1
E106	PR12	1573.68	1523.302	1
E107	PR12	1542.545	1544.0694	1
E11	PR12	1586.929	1480.7288	1
E114	PR12	1662.5	1448.5393	1
E115	PR12	1540.174	1544.0694	1
E117	PR12	1621.342	1615.72	1
E12	PR12	1630.421	1492.1509	1
E125	PR12	1524.773	1512.9183	1
E132	PR12	1525.057	1533.6857	1
E135	PR12	1581.205	1502.5346	1
E136	PR12	1506.538	1533.6857	1
E140	PR12	1562.583	1585.2582	1
E143	PR12	1529.147	1518.0591	1
E148	PR12	1479.294	1471.3834	1
E153	PR12	1548.817	1480.7288	1
E158	PR12	1521.713	1554.4531	1
E159	PR12	1561.98	1492.1509	1
E17	PR12	1590.866	1544.0694	1
E170	PR12	1557.903	1533.6857	1
E171	PR12	1508.179	1512.9183	1
E18	PR12	1551.872	1502.5346	1
E181	PR12	1550.153	1523.302	1
E184	PR12	1503.611	1512.9183	1
E19	PR12	1464.216	1470.3451	1
E191	PR12	1473.2	1438.5017	1
E194	PR12	1577.999	1459.9614	1
E196	PR12	1532.77	1523.302	1
E199	PR12	1602.498	1491.1125	1
E207	PR12	1497.495	1492.1509	1
E211	PR12	1517.729	1470.3451	1
E212	PR12	1455.083	1460.3075	1
E214	PR12	1570.037	1554.4531	1
E222	PR12	1410.585	1428.118	1
E224	PR12	1449.896	1459.9614	1
E227	PR12	1494.059	1512.9183	1
E229	PR12	1641.881	1617.45	1
E235	PR12	1518.942	1459.9614	1
E243	PR12	1527.185	1481.7672	1
E244	PR12	1504.825	1449.9238	1
E245	PR12	1458.356	1502.5346	1
E246	PR12	1589.163	1512.9183	1
E25	PR12	1634.684	1543.7233	1
E28	PR12	1495.913	1470.3451	1
E33	PR12	1550.184	1533.3396	1
E34	PR12	1438.434	1438.5017	1
E46	PR12	1515.215	1459.9614	1
E47	PR12	1498.594	1502.5346	1
E5	PR12	1547.905	1544.0694	1
E51	PR12	1463.465	1459.9614	1
E54	PR12	1609.688	1481.7672	1
E59	PR12	1536.463	1522.9559	1
E60	PR12	1449.926	1481.7672	1
E66	PR12	1496.548	1481.7672	1
E69	PR12	1454.181	1448.5393	1
E81	PR12	1473.584	1554.4531	1
E94	PR12	1478.113	1564.8369	1
E95	PR12	1485.478	1492.1509	1
E100	PR12	1602.48	1595.988	1
E104	PR12	1502.692	1502.5346	1
E108	PR12	1552.218	1595.6419	1
E111	PR12	1455.545	1459.9614	1
E118	PR12	1602.492	1512.9183	1
E122	PR12	1462.554	1459.9614	1
E124	PR12	1547.288	1470.3451	1
E126	PR12	1488.029	1523.302	1
E127	PR12	1559.146	1481.7672	1
E128	PR12	1454.157	1459.9614	1
E133	PR12	1496.483	1449.9238	1
E137	PR12	1440.109	1448.5393	1
E138	PR12	1550.876	1492.1509	1
E146	PR12	1604.759	1481.7672	1
E150	PR12	1554.487	1533.3396	1
E151	PR12	1536.522	1481.7672	1
E156	PR12	1534.303	1448.5393	1
E164	PR12	1597.217	1533.6857	1
E169	PR12	1599.532	1492.1509	1
E176	PR12	1521.576	1502.5346	1
E177	PR12	1536.04	1533.6857	1
E183	PR12	1568.892	1502.5346	1
E189	PR12	1485.868	1471.3834	1
E198	PR12	1555.855	1533.6857	1
E201	PR12	1524.359	1481.7672	1
E202	PR12	1570.877	1428.118	1
E204	PR12	1530.452	1512.9183	1
E21	PR12	1538.246	1564.8369	1
E217	PR12	1481.999	1533.6857	1
E220	PR12	1552.297	1502.5346	1
E221	PR12	1497.132	1438.5017	1
E226	PR12	1637.552	1523.302	1
E238	PR12	1544.363	1533.6857	1
E239	PR12	1593.799	1492.1509	1
E32	PR12	1499.552	1481.7672	1
E35	PR12	1498.486	1512.9183	1
E38	PR12	1535.976	1595.6419	1
E42	PR12	1513.193	1585.5496	1
E43	PR12	1521.061	1501.4962	1
E53	PR12	1498.401	1418.0804	1
E56	PR12	1607.431	1554.107	1
E57	PR12	1546.013	1460.3075	1
E63	PR12	1507.94	1460.3075	1
E7	PR12	1588.576	1492.1509	1
E75	PR12	1502.438	1502.5346	1
E76	PR12	1528.148	1554.107	1
E78	PR12	1522.89	1523.302	1
E8	PR12	1599.641	1492.1509	1
E82	PR12	1599.054	1627.83	1
E86	PR12	1668.562	1616.76	1
E87	PR12	1620.123	1595.988	1
E88	PR12	1642.705	1606.3717	1
E9	PR12	1659.85	1671.44	1
E90	PR12	1647.731	1460.3075	1
E92	PR12	1585.769	1606.7178	1
E93	PR12	1634.374	1595.2958	1
E97	PR12	1501.914	1523.302	1
E98	PR12	1441.093	1428.118	1
E99	PR12	1507.993	1470.3451	1
E101	PR12	1580.689	1512.9183	1
E103	PR12	1536.4	1428.118	1
E109	PR12	1490.699	1492.1509	1
E112	PR12	1680.736	1501.4962	1
E113	PR12	1560.392	1459.9614	1
E116	PR12	1495.793	1492.1509	1
E119	PR12	1519.029	1502.5346	1
E120	PR12	1490.909	1502.5346	1
E121	PR12	1539.765	1459.9614	1
E129	PR12	1542.544	1501.4962	1
E13	PR12	1571.958	1565.5291	1
E130	PR12	1606.03	1533.6857	1
E131	PR12	1583.686	1564.8369	1
E139	PR12	1591.01	1501.4962	1
E14	PR12	1513.003	1480.7288	1
E149	PR12	1547.211	1523.302	1
E15	PR12	1496.032	1491.1125	1
E152	PR12	1561.479	1533.6857	1
E157	PR12	1615.961	1407.7	1
E16	PR12	1600.733	1586.2965	1
E168	PR12	1538.76	1512.9183	1
E172	PR12	1589.649	1595.988	1
E173	PR12	1474.702	1492.1509	1
E174	PR12	1511.169	1491.1125	1
E175	PR12	1572.964	1459.9614	1
