line_code	PR12	IA14	PR11	IA13	PR14S	KS11	KS12
E10	1409.7734	1634.3785	1464.7108	2037.96	2669.58	2928.19	3080.69
E100	1595.988	1634.3785	1830.61	1863.785	2052.27	2152.05	2229.57
E101	1512.9183	1579.9387	1606.1698	1845.6053	2092.02	2525.09	2693.47
E102	1502.5346	1438.68	1488.0238	1734.53	1926.1987	2285.5788	2315.11
E103	1428.118	1645.4103	1501.4585	2097.98	2505.72	3307.95	3467.31
E104	1502.5346	1525.499	1464.7108	1963.83	2076.32	3143.21	2881.29
E105	1574.5283	1579.9387	1716.41	1953.0933	1635.57	2139.52	2554.95
E106	1523.302	1654.52	1678.48	1967.87	2108.17	2545.48	2815.32
E107	1544.0694	1681.86	1629.878	1995.64	1986.4198	2487.03	2707.53
E108	1595.6419	1594.3281	1740.12	1856.802	1783.06	2167.34	2356.8076
E109	1492.1509	1525.499	1454.83	1885.4654	2270.94	2606.88	2679.96
E11	1480.7288	1594.5679	1512.5223	1819.4051	1969.8372	2269.1494	2408.0216
E110	1595.6419	1538.9291	1779.24	1795.8921	1769.97	2000.11	2128.86
E111	1459.9614	1579.9387	1467.0816	2024.3	2715.84	3162.22	3185
E112	1501.4962	1552.1193	1710.3	1807.0888	1835.4307	2124.09	2204.42
E113	1459.9614	1372.01	1488.0238	1697.14	1585.38	2011.79	2062.69
E114	1448.5393	1608.9573	1488.0238	1770.1398	1767.35	2048.78	2217.47
E115	1544.0694	1736.54	1753.16	2199.87	2044.02	2607.59	2984.78
E116	1492.1509	1525.499	1464.7108	1967.65	2372.18	3194.32	3317.58
E117	1615.72	1654.52	1593.9205	1709.9	1835.4307	2107.99	2050.13
E118	1512.9183	1525.499	1478.1454	1641.83	1550.47	1748.51	1871.34
E119	1502.5346	1538.9291	1517.9961	1939.6573	2121.7	3055.6	2981.33
E12	1492.1509	1704.41	1464.7108	2162.02	2589.29	3055.81	2979.69
E120	1502.5346	1714.48	1454.83	2078.05	2767.98	3275.21	3467.31
E121	1459.9614	1474.177	1488.0238	1709.9	1601.53	1935.17	2081.77
E122	1459.9614	1342.51	1432.31	1680.34	1967.2189	2683.28	2682.91
E123	1543.7233	1525.499	1478.1454	1910.9938	1897.3973	2355.6173	2578.72
E124	1470.3451	1594.5679	1630.6682	1723.05	1735.94	1801.77	2092.38
E125	1512.9183	1594.5679	1478.1454	1863.785	1769.97	2194.8373	2420.8492
E126	1523.302	1372.01	1523.191	1582.93	1550.47	1835.53	1871.34
E127	1481.7672	1498.6389	1488.0238	2036.4	2187.59	3090.19	3309.15
E128	1459.9614	1403.19	1432.31	1967.87	2014.3484	2893.44	3075.11
E129	1501.4962	1581.1378	1653.9813	1949.7815	1890.4152	2138.09	2293.61
E13	1565.5291	1565.3095	1571.0026	1872.3161	1897.3973	2153.53	2335.45
E130	1533.6857	1654.52	1558.7533	1910.5459	1967.2189	2216.205	2519.3395
E131	1564.8369	1538.9291	1642.9175	1807.0888	1735.94	2051.32	2406.548
E132	1533.6857	1525.499	1606.1698	1745.73	1817.1	1988.52	2102.77
E133	1449.9238	1474.177	1511.3369	1953.7651	2076.32	2995.79	3034.26
E134	1470.6912	1475.3761	1454.83	1736.77	1601.53	1880.87	2097.23
E135	1502.5346	1426.45	1577.6019	1869.1183	1636.44	1934.86	2122.33
E136	1533.6857	1538.9291	1618.0239	1821.8684	1670.48	2047.45	2317.89
E137	1448.5393	1405.35	1444.95	1882.4382	1954.1274	2778.89	2795.9
E138	1492.1509	1538.6892	1546.8992	1754.69	1636.44	2066.75	2107.84
E139	1501.4962	1525.499	1665.84	1716.17	1801.39	1915.78	2008.89
E14	1480.7288	1581.1378	1500.2731	1896.4382	1897.3973	1915.78	2417.6846
E140	1585.2582	1565.3095	1687.76	1820.0769	2029.1855	2164.78	2258.8
E141	1502.5346	1634.3785	1642.9175	1783.1279	1783.06	1994.65	2216.52
E142	1565.5291	1538.6892	1535.8354	1725.13	1926.1987	2028.07	2159.78
E143	1518.0591	1619.9891	1582.0664	1859.7131	1701.9	2254.3345	2331.88
E144	1471.3834	1525.499	1464.7108	1889.2723	1786.12	1982.68	2174.51
E145	1512.9183	1512.0689	1534.65	1782.6801	1868.596	2035.22	2232.2
E146	1481.7672	1623.3466	1618.0239	1794.3246	1952.3818	2139.38	2342.75
E147	1647.91	1654.52	1727.48	1846.725	1880.8147	2018.15	2087.06
E148	1471.3834	1463.1451	1454.44	1752	1801.39	1912.21	2050.13
E149	1523.302	1475.3761	1511.3369	1736.77	1601.53	1851.62	1947.22
E15	1491.1125	1450.9142	1464.7108	1925.1016	1751.64	2024.54	2466.966
E150	1533.3396	1608.9573	1569.8172	2078.05	2153.56	2882.33	3164.73
E151	1481.7672	1538.6892	1535.4403	1757.38	1815.36	1970.86	2066.31
E152	1533.6857	1757.65	1605.7746	2097.08	2046.64	2459.06	2946.78
E153	1480.7288	1672.75	1556.47	2138.96	2414.95	2954.55	3075.59
E154	1448.5393	1488.8061	1465.501	2037.96	2106.43	2591.3	2831.96
E156	1448.5393	1414.22	1490.3947	1845.6053	2013.4757	2372.7589	2544.1493
E157	1407.7	1538.6892	1432.31	1757.38	1835.4307	2834.42	2073.08
E158	1554.4531	1594.5679	1740.52	1857.81	1852.0133	1870.43	2154.68
E159	1492.1509	1841.59	1454.83	2137.84	3032.87	2678.79	3215.17
E16	1586.2965	1501.0371	1577.6019	1721.85	1846.7767	1833.3	1963.74
E160	1459.9614	1579.9387	1501.4585	1874.2688	1817.98	2078.98	2267.01
E162	1502.5346	1594.3281	1501.4585	1653.47	1897.3973	1828.1	1929.1
E163	1502.5346	1525.499	1558.7533	1831.2736	1670.48	1963.28	2355.5514
E164	1533.6857	1608.9573	1569.8172	2009.75	1906.125	2370.361	2739.92
E165	1502.5346	1594.5679	1444.95	1869.1183	1783.06	2299.3491	2786.79
E166	1627.83	1594.5679	1684.67	1757.38	1852.0133	2108.46	2158.28
E167	1595.6419	1566.7485	1703.37	1832.6172	1735.94	2139.38	2240.42
E168	1512.9183	1594.3281	1488.0238	1821.1993	1717.61	1851.62	2066.31
E169	1492.1509	1552.1193	1478.1454	1821.1993	1987.2926	2094.17	2442.3494
E17	1544.0694	1786.67	1593.9205	2218.27	2894.54	3307.95	3317.58
E170	1533.6857	1608.9573	1593.9205	1939.6573	2457.72	2148.83	2948.98
E171	1512.9183	1538.9291	1558.7533	1736.77	1670.48	2066.75	2335.45
E172	1595.988	1566.7485	1740.52	1776.9527	1817.1	1853.33	1991.47
E173	1492.1509	1525.2592	1454.83	1996.09	2188.9	3016.26	3044.89
E174	1491.1125	1525.499	1558.7533	1762.5261	1908.7433	2123.42	2144.29
E175	1459.9614	1766.04	1488.0238	2198.52	2720.86	3294.92	3317.58
E176	1502.5346	1594.5679	1523.5862	1783.1279	1952.3818	2164.78	2356.4452
E177	1533.6857	1579.9387	1523.5862	2064.39	2154.86	2997.91	3269.24
E178	1502.5346	1538.9291	1593.9205	1725.13	1735.94	1912.21	2081.77
E179	1532.6474	1474.177	1740.52	1708.33	1566.62	1853.33	1963.74
E18	1502.5346	1450.9142	1546.8992	1610.03	1817.98	1823.09	1911.92
E180	1470.3451	1512.0689	1444.95	2051.62	2171.88	2871.91	2940.96
E181	1523.302	1594.5679	1534.65	1734.31	1653.89	1867.06	2052.08
E182	1554.107	1525.499	1511.3369	1717.29	1752.08	1803.12	1904.31
E183	1502.5346	1461.946	1511.3369	1725.13	1566.62	1853.33	2004.98
E184	1512.9183	1512.0689	1665.84	1691.09	1566.62	1772.59	1919.48
E185	1470.3451	1512.0689	1546.8992	1771.4834	1566.62	1949.3	2147.68
E186	1449.9238	1594.3281	1442.19	1981.08	2271.82	3055.81	2916.61
E187	1481.7672	1552.1193	1546.8992	1925.1016	1908.7433	2340.1851	2631.87
E188	1595.6419	1579.9387	1692.7	1832.3932	1954.1274	2051.32	2102.77
E189	1471.3834	1498.6389	1668.03	1866.8457	1636.44	2020.79	2206.86
E19	1470.3451	1601.2829	1454.83	1953.7651	2448.11	3272.34	3275.3
E190	1512.9183	1538.9291	1642.9175	1953.0933	1735.94	2004.62	2192.9
E191	1438.5017	1681.86	1581.6713	2037.06	2846.53	3190.45	3117.87
E192	1492.1509	1565.3095	1535.8354	1896.4382	1817.1	2164.78	2302.07
E193	1523.302	1623.3466	1582.0664	1869.1183	1636.44	1901.96	2158.28
E194	1459.9614	1608.9573	1582.0664	1938.9855	1897.3973	2202.1973	2454.9355
E195	1480.7288	1565.3095	1444.95	1869.1183	1801.39	2000.15	2203.48
E196	1523.302	1538.9291	1535.8354	1794.3246	1686.62	1801.77	1945.55
E197	1544.0694	1512.0689	1557.9631	1754.69	1566.62	1949.3	2144.29
E198	1533.6857	1623.3466	1535.4403	1981.98	2076.32	2359.8909	2809.28
E199	1491.1125	1634.3785	1557.9631	1896.4382	1670.48	2254.3345	2329.85
E20	1448.5393	1463.1451	1432.31	1843.5899	2254.8	2647.95	2753.43
E200	1470.3451	1414.22	1546.8992	1589.37	1550.47	1650.17	1887.86
E201	1481.7672	1552.1193	1419.67	1939.2094	2304.98	2751.35	2990.34
E202	1428.118	1754.53	1442.19	2249.58	2669.58	3156.07	3467.31
E203	1480.7288	1525.499	1606.1698	1770.1398	1686.62	1869.43	2293.61
E204	1512.9183	1565.3095	1500.2731	1856.802	1868.596	2315.0187	2356.4452
E205	1492.1509	1594.5679	1714.44	1910.9938	2030.0583	2166.87	2512.8894
E206	1470.3451	1538.6892	1432.31	1734.09	1636.44	1980.83	2182.49
E207	1492.1509	1474.177	1488.0238	1635.11	1704.52	1870.43	2034.67
E208	1481.7672	1475.3761	1511.3369	1663.1	1670.48	1753.29	2076.19
E209	1481.7672	1463.1451	1580.6873	1721.55	1967.2189	1929.31	2240.42
E21	1564.8369	1475.3761	1511.3369	1608.01	1670.48	2015.78	2007.83
E210	1491.1125	1645.4103	1740.12	1990.33	2013.9121	2370.9783	2580.29
E211	1470.3451	1426.45	1500.2731	2064.39	2046.64	2462.17	2782.39
E212	1460.3075	1426.45	1501.4585	1622.56	1502.03	1686.97	1856.17
E213	1512.9183	1501.0371	1511.3369	1682.13	1566.62	1667.98	1752.7
E214	1554.4531	1623.3466	1569.8172	1832.6172	1752.08	2008.18	2342.75
E215	1564.8369	1634.3785	1690.73	1953.3172	1835.4307	2176.41	2841.63
E217	1533.6857	1487.607	1582.0664	1821.1993	1701.9	1898.68	2144.32
