line_code	env_code	Yprd	Yobs	Rep
E100	PR12	1594.149	1595.988	1
E106	PR12	1557.527	1523.302	1
E108	PR12	1553.407	1595.6419	1
E114	PR12	1630.33	1448.5393	1
E116	PR12	1477.86	1492.1509	1
E118	PR12	1584.679	1512.9183	1
E12	PR12	1617.765	1492.1509	1
E123	PR12	1553.458	1543.7233	1
E124	PR12	1527.939	1470.3451	1
E125	PR12	1527.765	1512.9183	1
E128	PR12	1433.675	1459.9614	1
E14	PR12	1512.685	1480.7288	1
E141	PR12	1575.764	1502.5346	1
E144	PR12	1511.303	1471.3834	1
E154	PR12	1538.144	1448.5393	1
E157	PR12	1600.238	1407.7	1
E159	PR12	1576.202	1492.1509	1
E16	PR12	1608.101	1586.2965	1
E167	PR12	1609.831	1595.6419	1
E170	PR12	1544.87	1533.6857	1
E175	PR12	1533.274	1459.9614	1
E179	PR12	1619.993	1532.6474	1
E18	PR12	1543.653	1502.5346	1
E181	PR12	1539.919	1523.302	1
E182	PR12	1547.812	1554.107	1
E184	PR12	1523.294	1512.9183	1
E186	PR12	1521.502	1449.9238	1
E187	PR12	1541.348	1481.7672	1
E191	PR12	1486.577	1438.5017	1
E196	PR12	1529.013	1523.302	1
E197	PR12	1522.278	1544.0694	1
E201	PR12	1496.987	1481.7672	1
E208	PR12	1505.025	1481.7672	1
E210	PR12	1556.245	1491.1125	1
E211	PR12	1513.715	1470.3451	1
E213	PR12	1529.882	1512.9183	1
E215	PR12	1637.851	1564.8369	1
E218	PR12	1515.046	1459.9614	1
E220	PR12	1535.909	1502.5346	1
E225	PR12	1504.047	1481.7672	1
E226	PR12	1629.069	1523.302	1
E230	PR12	1503.506	1438.5017	1
E245	PR12	1455.483	1502.5346	1
E29	PR12	1498.932	1512.9183	1
E43	PR12	1462.528	1501.4962	1
E44	PR12	1563.769	1523.302	1
E46	PR12	1503.886	1459.9614	1
E50	PR12	1539.113	1492.1509	1
E62	PR12	1513.028	1470.3451	1
E64	PR12	1431.526	1428.118	1
E66	PR12	1476.433	1481.7672	1
E70	PR12	1520.052	1512.9183	1
E71	PR12	1538.899	1575.2206	1
E77	PR12	1494.478	1407.7	1
E8	PR12	1576.053	1492.1509	1
E86	PR12	1618.505	1616.76	1
E87	PR12	1631.784	1595.988	1
E90	PR12	1605.687	1460.3075	1
E99	PR12	1489.797	1470.3451	1
E100	IA14	1599.387	1634.3785	1
E106	IA14	1562.715	1654.52	1
E108	IA14	1559.603	1594.3281	1
E114	IA14	1632.467	1608.9573	1
E116	IA14	1488.197	1525.499	1
E118	IA14	1589.197	1525.499	1
E12	IA14	1625.196	1704.41	1
E123	IA14	1559.534	1525.499	1
E124	IA14	1531.619	1594.5679	1
E125	IA14	1532.776	1594.5679	1
E128	IA14	1444.312	1403.19	1
E14	IA14	1517.469	1581.1378	1
E141	IA14	1580.315	1634.3785	1
E144	IA14	1516.728	1525.499	1
E154	IA14	1547.158	1488.8061	1
E157	IA14	1604.989	1538.6892	1
E159	IA14	1581.929	1841.59	1
E16	IA14	1614.174	1501.0371	1
E167	IA14	1614.619	1566.7485	1
E170	IA14	1553.596	1608.9573	1
E175	IA14	1541.048	1766.04	1
E179	IA14	1624.934	1474.177	1
E18	IA14	1547.15	1450.9142	1
E181	IA14	1543.266	1594.5679	1
E182	IA14	1552.504	1525.499	1
E184	IA14	1528.017	1512.0689	1
E186	IA14	1528.932	1594.3281	1
E187	IA14	1546.724	1552.1193	1
E191	IA14	1492.005	1681.86	1
E196	IA14	1534.177	1538.9291	1
E197	IA14	1527.097	1512.0689	1
E201	IA14	1504.244	1552.1193	1
E208	IA14	1507.663	1475.3761	1
E210	IA14	1563.227	1645.4103	1
E211	IA14	1522.119	1426.45	1
E213	IA14	1532.377	1501.0371	1
E215	IA14	1643.276	1634.3785	1
E218	IA14	1522.829	1594.3281	1
E220	IA14	1542.199	1663.64	1
E225	IA14	1509.056	1579.9387	1
E226	IA14	1634.515	1645.4103	1
E230	IA14	1507.925	1450.9142	1
E245	IA14	1459.922	1463.1451	1
E29	IA14	1503.492	1382.09	1
E43	IA14	1469.184	1426.45	1
E44	IA14	1566.394	1619.9891	1
E46	IA14	1513.108	1512.0689	1
E50	IA14	1547.752	1512.0689	1
E62	IA14	1518.057	1538.9291	1
E64	IA14	1441.128	1342.51	1
E66	IA14	1485.854	1461.946	1
E70	IA14	1524.944	1450.9142	1
E71	IA14	1542.484	1475.3761	1
E77	IA14	1500.884	1487.607	1
E8	IA14	1581.367	1643.4917	1
E86	IA14	1625.162	1663.64	1
E87	IA14	1636.656	1663.64	1
E90	IA14	1614.379	1654.52	1
E99	IA14	1499.509	1438.68	1
E100	PR11	1584.33	1830.61	1
E106	PR11	1547.804	1678.48	1
E108	PR11	1541.793	1740.12	1
E114	PR11	1626.324	1488.0238	1
E116	PR11	1458.486	1464.7108	1
E118	PR11	1576.21	1478.1454	1
E12	PR11	1603.836	1464.7108	1
E123	PR11	1542.07	1478.1454	1
E124	PR11	1521.043	1630.6682	1
E125	PR11	1518.375	1478.1454	1
E128	PR11	1413.737	1432.31	1
E14	PR11	1503.719	1500.2731	1
E141	PR11	1567.234	1642.9175	1
E144	PR11	1501.135	1464.7108	1
E154	PR11	1521.25	1465.501	1
E157	PR11	1591.333	1432.31	1
E159	PR11	1565.467	1454.83	1
E16	PR11	1596.719	1577.6019	1
E167	PR11	1600.856	1703.37	1
E170	PR11	1528.513	1593.9205	1
E175	PR11	1518.704	1488.0238	1
E179	PR11	1610.732	1740.52	1
E18	PR11	1537.097	1546.8992	1
E181	PR11	1533.647	1534.65	1
E182	PR11	1539.016	1511.3369	1
E184	PR11	1514.441	1665.84	1
E186	PR11	1507.576	1442.19	1
E187	PR11	1531.272	1546.8992	1
E191	PR11	1476.403	1581.6713	1
E196	PR11	1519.333	1535.8354	1
E197	PR11	1513.246	1557.9631	1
E201	PR11	1483.385	1419.67	1
E208	PR11	1500.079	1511.3369	1
E210	PR11	1543.157	1740.12	1
E211	PR11	1497.962	1500.2731	1
E213	PR11	1525.205	1511.3369	1
E215	PR11	1627.683	1690.73	1
E218	PR11	1500.458	1444.95	1
E220	PR11	1524.119	1642.9175	1
E225	PR11	1494.659	1546.5041	1
E226	PR11	1618.86	1692.7	1
E230	PR11	1495.222	1418.87	1
E245	PR11	1447.161	1595.8962	1
E29	PR11	1490.385	1569.8172	1
E43	PR11	1450.053	1488.0238	1
E44	PR11	1558.85	1605.7746	1
E46	PR11	1486.602	1454.83	1
E50	PR11	1522.921	1511.3369	1
E62	PR11	1503.602	1488.0238	1
E64	PR11	1413.531	1444.95	1
E66	PR11	1458.776	1500.2731	1
E70	PR11	1510.884	1558.7533	1
E71	PR11	1532.179	1606.1698	1
E77	PR11	1482.472	1444.95	1
E8	PR11	1566.092	1523.5862	1
E86	PR11	1606.027	1753.16	1
E87	PR11	1622.653	1753.16	1
E90	PR11	1589.397	1547.6895	1
E99	PR11	1471.593	1478.1454	1
E100	IA13	1894.133	1863.785	1
E106	IA13	1854.597	1967.87	1
E108	IA13	1908.231	1856.802	1
E114	IA13	1752.726	1770.1398	1
E116	IA13	2069.793	1967.65	1
E118	IA13	1843.423	1641.83	1
E12	IA13	2043.324	2162.02	1
E123	IA13	1901.394	1910.9938	1
E124	IA13	1738.644	1723.05	1
E125	IA13	1814.68	1863.785	1
E128	IA13	2042.828	1967.87	1
E14	IA13	1786.618	1896.4382	1
E141	IA13	1836.363	1783.1279	1
E144	IA13	1821.973	1889.2723	1
E154	IA13	2054.308	2037.96	1
E157	IA13	1872.317	1757.38	1
E159	IA13	1904.18	2137.84	1
E16	IA13	1955.861	1721.85	1
E167	IA13	1884.029	1832.6172	1
E170	IA13	2044.608	1939.6573	1
E175	IA13	1978.438	2198.52	1
E179	IA13	1902.933	1708.33	1
E18	IA13	1743.937	1610.03	1
E181	IA13	1731.549	1734.31	1
E182	IA13	1816.535	1717.29	1
E184	IA13	1793.783	1691.09	1
E186	IA13	1946.973	1981.08	1
E187	IA13	1849.192	1925.1016	1
E191	IA13	1797.423	2037.06	1
E196	IA13	1824.758	1794.3246	1
E197	IA13	1798.242	1754.69	1
E201	IA13	1912.567	1939.2094	1
E208	IA13	1656.121	1663.1	1
E210	IA13	1956.106	1990.33	1
E211	IA13	1994.997	2064.39	1
E213	IA13	1672.765	1682.13	1
E215	IA13	1948.521	1953.3172	1
E218	IA13	1960.739	1854.4426	1
E220	IA13	1896.12	1953.3172	1
E225	IA13	1790.873	1820.0769	1
E226	IA13	1940.975	1966.98	1
E230	IA13	1756.598	1682.13	1
E245	IA13	1709.723	1715.5	1
E29	IA13	1760.06	1717.29	1
E43	IA13	1843.668	1896.4382	1
E44	IA13	1714.071	1885.4654	1
E46	IA13	2031.972	1938.9855	1
E50	IA13	2033.818	1949.0606	1
E62	IA13	1801.002	1672.95	1
E64	IA13	1981.336	1808.8803	1
E66	IA13	2015.911	1966.98	1
E70	IA13	1800.167	1745.73	1
E71	IA13	1744.216	1725.13	1
E77	IA13	1861.312	1857.81	1
E8	IA13	1880.364	1970.44	1
E86	IA13	1999.733	2036.17	1
E87	IA13	1910.751	1896.4382	1
E90	IA13	2103.395	2091.48	1
E99	IA13	2045.964	1981.76	1
E100	PR14S	1989.415	2052.27	1
E106	PR14S	1948.954	2108.17	1
E108	PR14S	2020.932	1783.06	1
E114	PR14S	1791.602	1767.35	1
E116	PR14S	2257.805	2372.18	1
E118	PR14S	1925.607	1550.47	1
E12	PR14S	2178.492	2589.29	1
E123	PR14S	2011.907	1897.3973	1
E124	PR14S	1805.569	1735.94	1
E125	PR14S	1905.811	1769.97	1
E128	PR14S	2236.31	2014.3484	1
E14	PR14S	1873.626	1897.3973	1
E141	PR14S	1919.135	1783.06	1
E144	PR14S	1920.649	1786.12	1
E154	PR14S	2218.254	2106.43	1
E157	PR14S	1958.736	1835.4307	1
E159	PR14S	2008.354	3032.87	1
E16	PR14S	2066.318	1846.7767	1
E167	PR14S	1971.121	1735.94	1
E170	PR14S	2203.337	2457.72	1
E175	PR14S	2119.833	2720.86	1
E179	PR14S	1992.802	1566.62	1
E18	PR14S	1807.552	1817.98	1
E181	PR14S	1792.415	1653.89	1
E182	PR14S	1901.888	1752.08	1
E184	PR14S	1879.697	1566.62	1
E186	PR14S	2082.113	2271.82	1
E187	PR14S	1946.971	1908.7433	1
E191	PR14S	1896.156	2846.53	1
E196	PR14S	1918.695	1686.62	1
E197	PR14S	1885.896	1566.62	1
E201	PR14S	2044.566	2304.98	1
E208	PR14S	1704.113	1670.48	1
E210	PR14S	2083.112	2013.9121	1
E211	PR14S	2147.864	2046.64	1
E213	PR14S	1718.148	1566.62	1
E215	PR14S	2047.197	1835.4307	1
