line_code	Intcp_mean	Slope_mean	R2_mean
E10	2175.0404	1.813	0.9307
E100	1908.3788	0.6133	0.8878
E101	1979.316	1.2486	0.9884
E102	1812.9508	0.974	0.974
E103	2279.1353	2.2164	0.9847
E104	2079.6278	1.7446	0.9318
E105	1879.1443	0.8701	0.8148
E106	2041.8774	1.2783	0.9935
E107	2004.6325	1.1678	0.9893
E108	1870.5857	0.7383	0.9339
E109	1987.9608	1.3763	0.9591
E11	1864.8903	0.9702	0.9903
E110	1801.2347	0.5119	0.8674
E111	2227.7631	1.9965	0.9362
E112	1819.2779	0.6878	0.954
E113	1668.1422	0.6954	0.9334
E114	1764.18	0.7419	0.9719
E115	2124.2899	1.3438	0.9628
E116	2190.5844	2.0875	0.9805
E117	1795.373	0.5334	0.9248
E118	1618.3875	0.3617	0.8956
E119	2093.9639	1.7487	0.9634
E12	2206.8688	1.7347	0.9296
E120	2322.9135	2.1776	0.9535
E121	1678.6475	0.6333	0.9538
E122	1892.6472	1.492	0.955
E123	1898.5852	1.1316	0.9877
E124	1721.2459	0.4812	0.8587
E125	1833.5819	0.928	0.9648
E126	1608.3961	0.442	0.86
E127	2155.9657	2.0242	0.9912
E128	2035.1757	1.8297	0.9858
E129	1858.3589	0.7649	0.9608
E13	1851.5049	0.8124	0.9939
E130	1908.6098	0.9543	0.9795
E131	1821.0829	0.7858	0.9141
E132	1759.9249	0.5903	0.9877
E133	2070.7961	1.8027	0.9787
E134	1673.8996	0.6246	0.9311
E135	1724.1907	0.6251	0.8587
E136	1792.6182	0.7423	0.9127
E137	1958.5993	1.5841	0.9753
E138	1734.7799	0.654	0.937
E139	1733.5807	0.4835	0.931
E14	1812.7771	0.8114	0.8669
E140	1873.0243	0.7236	0.9508
E141	1793.8841	0.6247	0.9516
E142	1782.7475	0.663	0.9585
E143	1838.2775	0.8407	0.9316
E144	1756.3108	0.7107	0.9345
E145	1782.619	0.7435	0.9877
E146	1850.282	0.8125	0.9762
E147	1837.5228	0.4509	0.979
E148	1700.6712	0.6253	0.9615
E149	1663.8793	0.4654	0.915
E15	1796.4264	0.9448	0.9097
E150	2141.5406	1.729	0.9951
E151	1737.9724	0.601	0.9856
E152	2063.81	1.302	0.9567
E153	2184.857	1.7226	0.9826
E154	1995.7852	1.4857	0.9949
E156	1875.5919	1.2051	0.9918
E157	1839.8586	1.0893	0.6822
E158	1803.4963	0.4826	0.8241
E159	2264.7487	1.6953	0.793
E16	1718.6575	0.4224	0.8788
E160	1797.0853	0.7917	0.9702
E162	1700.9126	0.4309	0.7988
E163	1772.4817	0.7684	0.89
E164	1962.6595	1.1834	0.9706
E165	1897.1957	1.2424	0.9345
E166	1826.1716	0.5901	0.9698
E167	1830.5882	0.6683	0.9281
E168	1721.7156	0.5191	0.8903
E169	1838.2038	0.9353	0.9581
E17	2380.4286	1.9991	0.9278
E170	2033.1073	1.2484	0.8047
E171	1774.293	0.7967	0.9356
E172	1763.1585	0.3566	0.8377
E173	2102.6257	1.8095	0.9809
E174	1787.7635	0.7246	0.9714
E175	2320.8436	2.066	0.9499
E176	1839.6319	0.8717	0.9855
E177	2160.5158	1.8834	0.9906
E178	1727.2049	0.5478	0.9775
E179	1691.3378	0.3858	0.6692
E18	1666.1954	0.4505	0.8779
E180	2066.2477	1.6864	0.9874
E181	1708.5514	0.4926	0.929
E182	1681.1061	0.3913	0.9378
E183	1660.8396	0.5173	0.8996
E184	1662.9439	0.3401	0.7457
E185	1709.1995	0.6395	0.8863
E186	2101.6803	1.7443	0.9555
E187	1912.3837	1.1513	0.9902
E188	1829.8416	0.5469	0.934
E189	1766.9983	0.6749	0.8617
E19	2210.8533	2.0857	0.9645
