line_code	Intcp_mean	Slope_mean	Intcp_para_adj	Intcp_para	Slope_para	R2_mean	R2_para
E10	2175.0404	1.813	2175.0404	-733.0182	7.0046	0.93	0.95
E100	1908.3788	0.6133	1908.3788	938.8291	2.3353	0.89	0.88
E101	1979.316	1.2486	1979.316	3.3411	4.7595	0.99	0.98
E102	1812.9508	0.974	1812.9508	256.8075	3.7483	0.97	0.99
E103	2279.1353	2.2164	2279.1353	-1244.8728	8.4882	0.98	0.99
E104	2079.6278	1.7446	2079.6278	-709.52	6.7182	0.93	0.95
E105	1879.1443	0.8701	1879.1443	546.2818	3.2105	0.81	0.76
E106	2041.8774	1.2783	2041.8774	30.6523	4.8444	0.99	0.98
E107	2004.6325	1.1678	2004.6325	167.9313	4.424	0.99	0.97
E108	1870.5857	0.7383	1870.5857	723.123	2.7639	0.93	0.9
E109	1987.9608	1.3763	1987.9608	-219.6817	5.3175	0.96	0.98
E11	1864.8903	0.9702	1864.8903	325.146	3.7088	0.99	0.99
E110	1801.2347	0.5119	1801.2347	1006.5567	1.9141	0.87	0.83
E111	2227.7631	1.9965	2227.7631	-980.8865	7.7286	0.94	0.96
E112	1819.2779	0.6878	1819.2779	740.2043	2.5992	0.95	0.93
E113	1668.1422	0.6954	1668.1422	571.8245	2.6407	0.93	0.92
E114	1764.18	0.7419	1764.18	597.2299	2.8108	0.97	0.95
E115	2124.2899	1.3438	2124.2899	26.5762	5.0527	0.96	0.93
E116	2190.5844	2.0875	2190.5844	-1132.1826	8.0035	0.98	0.99
E117	1795.373	0.5334	1795.373	941.8619	2.0558	0.92	0.94
E118	1618.3875	0.3617	1618.3875	1053.8609	1.3598	0.9	0.87
E119	2093.9639	1.7487	2093.9639	-688.8351	6.7029	0.96	0.97
E12	2206.8688	1.7347	2206.8688	-588.3792	6.7329	0.93	0.96
E120	2322.9135	2.1776	2322.9135	-1160.3053	8.39	0.95	0.97
E121	1678.6475	0.6333	1678.6475	687.2596	2.3879	0.95	0.93
E122	1892.6472	1.492	1892.6472	-482.9042	5.722	0.96	0.96
E123	1898.5852	1.1316	1898.5852	108.2846	4.3123	0.99	0.98
E124	1721.2459	0.4812	1721.2459	981.5388	1.7817	0.86	0.81
E125	1833.5819	0.928	1833.5819	374.6401	3.5141	0.96	0.95
E126	1608.3961	0.442	1608.3961	911.8579	1.6777	0.86	0.85
E127	2155.9657	2.0242	2155.9657	-1049.1637	7.7202	0.99	0.99
E128	2035.1757	1.8297	2035.1757	-862.3658	6.9793	0.99	0.98
E129	1858.3589	0.7649	1858.3589	653.8087	2.9014	0.96	0.95
E13	1851.5049	0.8124	1851.5049	565.9228	3.0966	0.99	0.99
E130	1908.6098	0.9543	1908.6098	406.3548	3.6185	0.98	0.96
E131	1821.0829	0.7858	1821.0829	604.3461	2.9307	0.91	0.87
E132	1759.9249	0.5903	1759.9249	827.0114	2.2471	0.99	0.98
E133	2070.7961	1.8027	2070.7961	-788.0424	6.8861	0.98	0.98
E134	1673.8996	0.6246	1673.8996	696.8735	2.3534	0.93	0.9
E135	1724.1907	0.6251	1724.1907	747.1722	2.3533	0.86	0.83
E136	1792.6182	0.7423	1792.6182	642.258	2.7709	0.91	0.87
E137	1958.5993	1.5841	1958.5993	-558.1791	6.0621	0.98	0.98
E138	1734.7799	0.654	1734.7799	707.8926	2.4735	0.94	0.92
E139	1733.5807	0.4835	1733.5807	973.5219	1.8307	0.93	0.91
E14	1812.7771	0.8114	1812.7771	544.7373	3.0543	0.87	0.84
E140	1873.0243	0.7236	1873.0243	721.049	2.7748	0.95	0.96
E141	1793.8841	0.6247	1793.8841	823.2967	2.3378	0.95	0.91
E142	1782.7475	0.663	1782.7475	723.8309	2.5506	0.96	0.97
E143	1838.2775	0.8407	1838.2775	520.7822	3.1734	0.93	0.91
E144	1756.3108	0.7107	1756.3108	630.7367	2.7112	0.93	0.93
E145	1782.619	0.7435	1782.619	605.5725	2.8351	0.99	0.98
E146	1850.282	0.8125	1850.282	571.4709	3.0803	0.98	0.96
E147	1837.5228	0.4509	1837.5228	1124.4691	1.7175	0.98	0.97
E148	1700.6712	0.6253	1700.6712	703.0869	2.4029	0.96	0.97
E149	1663.8793	0.4654	1663.8793	931.3185	1.7645	0.92	0.9
E15	1796.4264	0.9448	1796.4264	318.4577	3.56	0.91	0.88
E150	2141.5406	1.729	2141.5406	-588.0858	6.5748	1	0.98
E151	1737.9724	0.601	1737.9724	783.6962	2.2986	0.99	0.99
E152	2063.81	1.302	2063.81	28.6583	4.9021	0.96	0.93
E153	2184.857	1.7226	2184.857	-560.8203	6.6135	0.98	0.99
E154	1995.7852	1.4857	1995.7852	-362.6923	5.6808	0.99	1
E156	1875.5919	1.2051	1875.5919	-40.0621	4.6142	0.99	0.99
E157	1839.8586	1.0893	1839.8586	65.6228	4.2736	0.68	0.72
E158	1803.4963	0.4826	1803.4963	1057.1341	1.7978	0.82	0.78
E159	2264.7487	1.6953	2264.7487	-459.9213	6.5629	0.79	0.81
E16	1718.6575	0.4224	1718.6575	1042.306	1.6291	0.88	0.89
E160	1797.0853	0.7917	1797.0853	548.0142	3.0086	0.97	0.96
E162	1700.9126	0.4309	1700.9126	1007.1069	1.6712	0.8	0.82
E163	1772.4817	0.7684	1772.4817	584.1733	2.8623	0.89	0.84
E164	1962.6595	1.1834	1962.6595	108.6036	4.4658	0.97	0.95
E165	1897.1957	1.2424	1897.1957	-40.7692	4.668	0.93	0.9
E166	1826.1716	0.5901	1826.1716	893.1105	2.2475	0.97	0.96
E167	1830.5882	0.6683	1830.5882	787.0188	2.5136	0.93	0.9
E168	1721.7156	0.5191	1721.7156	905.6136	1.9657	0.89	0.87
E169	1838.2038	0.9353	1838.2038	359.1598	3.5626	0.96	0.95
E17	2380.4286	1.9991	2380.4286	-833.4821	7.7413	0.93	0.95
E170	2033.1073	1.2484	2033.1073	66.5996	4.7367	0.8	0.79
E171	1774.293	0.7967	1774.293	536.0468	2.9826	0.94	0.9
E172	1763.1585	0.3566	1763.1585	1206.359	1.3412	0.84	0.81
E173	2102.6257	1.8095	2102.6257	-779.8885	6.9431	0.98	0.99
E174	1787.7635	0.7246	1787.7635	630.4302	2.7877	0.97	0.98
E175	2320.8436	2.066	2320.8436	-990.7937	7.9767	0.95	0.97
E176	1839.6319	0.8717	1839.6319	458.6767	3.3263	0.99	0.98
E177	2160.5158	1.8834	2160.5158	-815.4658	7.1682	0.99	0.98
E178	1727.2049	0.5478	1727.2049	870.3976	2.0638	0.98	0.95
E179	1691.3378	0.3858	1691.3378	1104.631	1.4132	0.67	0.61
E18	1666.1954	0.4505	1666.1954	945.5532	1.7358	0.88	0.89
E180	2066.2477	1.6864	2066.2477	-621.8457	6.4748	0.99	1
E181	1708.5514	0.4926	1708.5514	941.3769	1.8479	0.93	0.89
E182	1681.1061	0.3913	1681.1061	1055.1244	1.5078	0.94	0.95
E183	1660.8396	0.5173	1660.8396	853.3149	1.9451	0.9	0.87
E184	1662.9439	0.3401	1662.9439	1146.1816	1.2447	0.75	0.68
E185	1709.1995	0.6395	1709.1995	718.5131	2.3863	0.89	0.84
E186	2101.6803	1.7443	2101.6803	-691.6342	6.7282	0.96	0.97
E187	1912.3837	1.1513	1912.3837	102.6445	4.3591	0.99	0.97
E188	1829.8416	0.5469	1829.8416	956.9214	2.1026	0.93	0.94
E189	1766.9983	0.6749	1766.9983	722.9528	2.5148	0.86	0.82
E19	2210.8533	2.0857	2210.8533	-1118.5866	8.0196	0.96	0.98
E190	1797.3312	0.6384	1797.3312	800.4146	2.4013	0.88	0.85
E191	2270.5633	1.9001	2270.5633	-789.1737	7.37	0.9	0.92
E192	1824.812	0.8343	1824.812	507.1182	3.1739	0.98	0.97
E193	1756.359	0.5475	1756.359	911.5878	2.0348	0.82	0.78
E194	1877.7858	0.9395	1877.7858	402.6417	3.5532	0.98	0.96
E195	1766.4467	0.7282	1766.4467	613.065	2.7781	0.94	0.94
E196	1689.4759	0.4112	1689.4759	1041.7414	1.5602	0.89	0.88
E197	1718.4288	0.6015	1718.4288	785.7973	2.2464	0.87	0.83
E198	1988.5634	1.2447	1988.5634	29.6407	4.7184	0.97	0.96
E199	1833.5081	0.8516	1833.5081	500.02	3.212	0.91	0.88
E20	1977.6806	1.4967	1977.6806	-417.0366	5.7681	0.97	0.98
E200	1587.0478	0.3625	1587.0478	1031.3744	1.3384	0.8	0.75
E201	2062.7766	1.6631	2062.7766	-587.6181	6.384	0.98	0.99
E202	2309.6254	2.1317	2309.6254	-1087.9106	8.1836	0.97	0.98
E203	1747.4568	0.676	1747.4568	709.3989	2.5004	0.86	0.8
E204	1853.6233	0.9514	1853.6233	341.0327	3.6434	0.98	0.99
E205	1917.4243	0.913	1917.4243	489.0615	3.4405	0.95	0.92
E206	1710.742	0.7166	1710.742	587.4953	2.7056	0.95	0.92
E207	1671.2974	0.5655	1671.2974	779.7833	2.1474	0.99	0.97
E208	1661.6486	0.53	1661.6486	839.0322	1.9814	0.89	0.85
E209	1769.1569	0.7216	1769.1569	629.6941	2.7446	0.89	0.88
E21	1693.3786	0.5742	1693.3786	780.6066	2.1986	0.92	0.92
E210	1976.0219	1.024	1976.0219	370.24	3.8678	0.98	0.95
E211	1964.6655	1.3875	1964.6655	-232.1275	5.2914	0.98	0.98
E212	1579.4209	0.3714	1579.4209	1005.9648	1.3813	0.85	0.8
E213	1599.246	0.2403	1599.246	1222.074	0.9085	0.81	0.79
E214	1811.892	0.7223	1811.892	689.2007	2.7042	0.92	0.89
E215	1956.6762	1.0875	1956.6762	285.1469	4.0262	0.87	0.81
E217	1738.4941	0.5896	1738.4941	818.0746	2.217	0.91	0.88
E218	2004.356	1.5161	2004.356	-402.1375	5.7965	0.98	0.98
E219	1919.5486	0.8891	1919.5486	509.0676	3.3974	0.96	0.95
E22	2188.3842	1.9337	2188.3842	-868.4584	7.363	0.97	0.96
E220	1904.877	0.7879	1904.877	654.4887	3.0118	0.93	0.93
E221	1952.3329	1.5971	1952.3329	-550.4699	6.0285	0.95	0.92
E222	1864.6065	1.3897	1864.6065	-323.1279	5.2696	0.97	0.96
E223	1764.5874	0.6526	1764.5874	744.8672	2.4562	0.93	0.9
E224	1738.3472	0.698	1738.3472	625.7422	2.6799	0.92	0.93
E225	1838.9738	0.9602	1838.9738	345.7361	3.5967	0.94	0.91
E226	1900.5384	0.7867	1900.5384	673.9153	2.9546	0.92	0.89
E227	1786.533	0.7359	1786.533	633.5602	2.7772	0.97	0.94
E229	1995.6364	1.0301	1995.6364	331.1561	4.0092	0.91	0.94
E23	1924.1026	1.0118	1924.1026	311.026	3.8854	0.98	0.99
E230	1581.8508	0.3933	1581.8508	973.9145	1.4643	0.67	0.64
E231	2327.9165	1.7672	2327.9165	-555.965	6.9464	0.75	0.79
E232	2083.0243	1.5129	2083.0243	-314.5048	5.7749	0.95	0.95
E233	1672.7915	0.394	1672.7915	1047.1863	1.5069	0.95	0.95
E234	1648.2061	0.3934	1648.2061	1036.258	1.474	0.93	0.9
E235	1782.2966	0.8202	1782.2966	466.2252	3.17	0.76	0.77
E237	1923.0742	1.4305	1923.0742	-339.4335	5.4497	0.99	0.99
E238	1916.7633	0.9527	1916.7633	420.4555	3.6041	0.95	0.93
E239	2139.0664	1.7516	2139.0664	-643.847	6.7032	0.99	0.99
E24	1871.1035	0.8933	1871.1035	445.0061	3.435	0.97	0.98
E240	1802.0374	0.7795	1802.0374	584.4223	2.9329	0.9	0.87
E241	2030.0061	1.5496	2030.0061	-410.5968	5.8787	0.96	0.95
E242	1965.4253	1.5036	1965.4253	-418.7123	5.7427	0.99	0.99
E243	1705.453	0.6996	1705.453	614.2917	2.6283	0.91	0.88
E244	1725.9772	0.5682	1725.9772	825.5121	2.1689	0.88	0.88
E245	1652.0294	0.4243	1652.0294	1000.2812	1.5699	0.79	0.74
E246	2202.681	1.6354	2202.681	-396.655	6.261	0.96	0.97
E247	1823.2532	1.0763	1823.2532	150.1459	4.03	0.92	0.89
E248	1714.6108	0.4095	1714.6108	1064.6404	1.5656	0.89	0.88
E25	1728.2061	0.4643	1728.2061	1008.6674	1.7331	0.9	0.86
E27	1690.4428	0.7847	1690.4428	461.7799	2.9595	0.95	0.92
E28	2201.1822	1.8118	2201.1822	-723.8299	7.0455	0.9	0.93
E29	1626.0765	0.3818	1626.0765	1033.3049	1.4278	0.74	0.71
E30	1692.2396	0.5286	1692.2396	871.8119	1.9762	0.89	0.85
E31	2091.5496	1.6992	2091.5496	-632.0893	6.5604	0.96	0.98
E32	1872.8763	0.8913	1872.8763	465.4132	3.3901	0.99	0.98
E33	1747.747	0.4838	1747.747	994.1978	1.8151	0.88	0.84
E34	2059.93	1.7064	2059.93	-655.2663	6.5401	0.99	0.99
E35	1813.6705	0.8146	1813.6705	534.2932	3.0816	0.99	0.97
E36	2091.9188	1.5409	2091.9188	-331.7203	5.8378	0.96	0.94
E37	1764.2648	0.7765	1764.2648	532.5335	2.9669	0.99	0.99
E38	1814.0312	0.7877	1814.0312	580.6922	2.9707	0.88	0.85
E39	1621.7308	0.4292	1621.7308	953.738	1.609	0.95	0.91
E40	1773.4256	0.4072	1773.4256	1137.4719	1.5318	0.71	0.68
E41	1782.4188	0.7029	1782.4188	682.523	2.6493	0.96	0.94
E42	1768.0899	0.4573	1768.0899	1053.1401	1.7221	0.94	0.91
E43	1993.5583	1.56	1993.5583	-479.8591	5.9577	0.99	0.99
E44	1879.9267	0.8166	1879.9267	585.138	3.1187	0.98	0.98
E45	1657.2447	0.4004	1657.2447	1029.1553	1.5129	0.89	0.87
E46	1988.9537	1.4687	1988.9537	-349.579	5.6328	0.99	1
E47	1784.4258	0.7959	1784.4258	527.2303	3.0282	0.98	0.97
E48	1733.3192	0.7634	1733.3192	545.0177	2.8623	0.95	0.92
E49	1683.3384	0.3299	1683.3384	1148.3197	1.2887	0.74	0.77
E5	1887.9632	0.9748	1887.9632	348.0185	3.7093	0.99	0.98
E50	2022.7939	1.5066	2022.7939	-382.3229	5.7932	0.97	0.98
E51	1815.3044	0.9137	1815.3044	376.304	3.4661	0.97	0.96
E52	1953.1026	0.8122	1953.1026	687.3937	3.0487	0.88	0.85
E53	1876.2129	1.3983	1876.2129	-339.7313	5.3375	0.98	0.98
E54	2092.9081	1.7627	2092.9081	-711.8687	6.7558	0.98	0.98
E55	1721.0228	0.469	1721.0228	983.5188	1.7764	0.98	0.96
E56	1817.9751	0.6929	1817.9751	736.4638	2.605	0.9	0.87
E57	1681.801	0.5627	1681.801	795.6651	2.1344	0.95	0.93
E58	1838.4407	0.6828	1838.4407	792.3185	2.5198	0.82	0.76
E59	1656.0646	0.3628	1656.0646	1078.6033	1.3909	0.92	0.92
