env_code	pop_code	line_code	FTdap	FTgdd	env_note
PR12	1	E5	58.1071	1544.0694	2
PR12	1	E6	59.2582	1575.2206	2
PR12	1	E7	56.1885	1492.1509	2
PR12	1	E8	56.1885	1492.1509	2
PR12	1	E9	63.0955	1671.44	2
PR12	1	E10	53.1187	1409.7734	2
PR12	1	E11	55.8047	1480.7288	2
PR12	1	E12	56.1885	1492.1509	2
PR12	1	E13	58.8745	1565.5291	2
PR12	1	E14	55.8047	1480.7288	2
PR12	1	E15	56.1885	1491.1125	2
PR12	1	E16	59.642	1586.2965	2
PR12	1	E17	58.1071	1544.0694	2
PR12	1	E18	56.5722	1502.5346	2
PR12	1	E19	55.421	1470.3451	2
PR12	1	E20	54.6536	1448.5393	2
PR12	1	E21	58.8745	1564.8369	2
PR12	1	E22	56.9559	1512.9183	2
PR12	1	E23	58.1071	1544.0694	2
PR12	1	E24	56.1885	1492.1509	2
PR12	1	E25	58.1071	1543.7233	2
PR12	1	E27	54.6536	1448.5393	2
PR12	1	E28	55.421	1470.3451	2
PR12	1	E29	56.9559	1512.9183	2
PR12	1	E30	57.3396	1523.302	2
PR12	1	E31	53.8861	1428.118	2
PR12	1	E32	55.8047	1481.7672	2
PR12	1	E33	57.7234	1533.3396	2
PR12	1	E34	54.2699	1438.5017	2
PR12	1	E35	56.9559	1512.9183	2
PR12	1	E36	57.7234	1533.6857	2
PR12	1	E37	55.421	1471.3834	2
PR12	1	E38	60.0257	1595.6419	2
PR12	1	E39	55.0373	1460.3075	2
PR12	1	E40	63.0955	1671.44	2
PR12	1	E41	56.5722	1502.5346	2
PR12	1	E42	59.6421	1585.5496	2
PR12	1	E43	56.5722	1501.4962	2
PR12	1	E44	57.3396	1523.302	2
PR12	1	E45	59.2582	1575.2206	2
PR12	1	E46	55.0373	1459.9614	2
PR12	1	E47	56.5722	1502.5346	2
PR12	1	E48	55.421	1470.3451	2
PR12	1	E49	60.4094	1599.4492	2
PR12	1	E50	56.1885	1492.1509	2
PR12	1	E51	55.0373	1459.9614	2
PR12	1	E52	60.2647	1602.4222	2
PR12	1	E53	53.5024	1418.0804	2
PR12	1	E54	55.8047	1481.7672	2
PR12	1	E55	57.7234	1533.3396	2
PR12	1	E56	58.4908	1554.107	2
PR12	1	E57	55.0373	1460.3075	2
PR12	1	E58	57.3396	1523.302	2
PR12	1	E59	57.3396	1522.9559	2
PR12	1	E60	55.8047	1481.7672	2
PR12	1	E61	54.2699	1438.5017	2
PR12	1	E62	55.421	1470.3451	2
PR12	1	E63	55.0373	1460.3075	2
