env_code	DL	GDD	PTT	PTR	PTS
IA13	16.22	10	162.2	0.616522811	631412.16
IA13	16.23	12	194.76	0.739371534	522611.1936
IA13	16.25	11	178.75	0.676923077	257725
IA13	16.27	10.5	170.835	0.645359557	480453.9135
IA13	16.28	9	146.52	0.552825553	500392.4992
IA13	16.3	10	163	0.613496933	510124.8
IA13	16.32	15	244.8	0.919117647	346245.12
IA13	16.33	14.5	236.785	0.887936314	584804.8977
IA13	16.35	24	392.4	1.467889908	870402.06
IA13	16.35	28.5	465.975	1.743119266	713483.7525
IA13	16.37	23	376.51	1.405009163	1017240.312
IA13	16.37	21.5	351.955	1.313378131	728093.2373
IA13	16.37	18.5	302.845	1.130116066	403841.1883
IA13	16.38	24	393.12	1.465201465	794181.024
IA13	16.38	24	393.12	1.465201465	953017.2288
IA13	16.4	25	410	1.524390244	887568
IA13	16.4	23.5	385.4	1.432926829	830279.52
IA13	16.4	26	426.4	1.585365854	817638.4
IA13	16.4	28.5	467.4	1.737804878	633400.8
IA13	16.38	29.5	483.21	1.800976801	895868.3916
IA13	16.4	28	459.2	1.707317073	1006986.24
IA13	16.4	22.5	369	1.37195122	506989.6
IA13	16.38	26	425.88	1.587301587	734080.8384
IA13	16.38	30	491.4	1.831501832	772716.672
IA13	16.38	28.5	466.83	1.73992674	884599.6068
IA13	16.37	26	425.62	1.588271228	733184.7984
IA13	16.35	23	376.05	1.406727829	780581.7
IA13	16.33	16.5	269.445	1.010410288	673872.3103
IA13	16.33	19.5	318.435	1.194121249	778406.5191
IA13	16.32	20	326.4	1.225490196	820334.592
IA13	16.3	19	309.7	1.165644172	879965.28
IA13	16.28	22.5	366.3	1.382063882	883903.064
IA13	16.27	24.5	398.615	1.505838967	986055.5525
IA13	16.25	27.5	446.875	1.692307692	941382.8125
IA13	16.23	30.5	495.015	1.879235983	720961.1073
IA13	16.22	30.5	494.71	1.880394575	635358.486
IA13	16.18	32	517.76	1.977750309	686943.2576
IA13	16.17	28.5	460.845	1.762523191	1026265.433
IA13	16.15	22	355.3	1.362229102	826285.68
IA13	16.12	23	370.76	1.426799007	910529.8176
IA13	16.1	24.5	394.45	1.52173913	811068.09
IA13	16.07	23.5	377.645	1.462352209	797202.0063
IA13	16.03	26	416.78	1.621958827	859277.2496
IA13	16.02	30.5	488.61	1.903870162	785062.9836
IA13	15.98	31.5	503.37	1.971214018	957346.1396
IA13	15.95	32	510.4	2.006269592	917884.22
IA13	15.92	33	525.36	2.072864322	757297.8432
IA13	15.88	25.5	404.94	1.605793451	1256585.035
IA13	15.85	24.5	388.325	1.545741325	860939.5075
IA13	15.82	27.5	435.05	1.738305942	1047389.994
IA13	15.78	26	410.28	1.64765526	1135478.304
IA13	15.75	17	267.75	1.079365079	664807.5
IA13	15.72	21.5	337.98	1.367684478	883448.28
IA13	15.68	23.5	368.48	1.49872449	686693.6832
IA13	15.65	11	172.15	0.702875399	597610.9
IA13	15.62	11.5	179.63	0.736235595	690231.8676
IA13	15.58	11.5	179.17	0.738125802	686701.2756
IA13	15.55	17.5	272.125	1.125401929	293790.0375
IA13	15.5	22	341	1.419354839	622728
IA13	15.45	21	324.45	1.359223301	881289.63
IA13	15.42	24.5	377.79	1.588845655	744002.3556
IA13	15.38	15.5	238.39	1.007802341	588759.0116
IA13	15.33	16	245.28	1.043705153	744508.1952
IA13	15.3	20.5	313.65	1.339869281	627127.11
IA13	15.27	26.5	404.655	1.735428946	749184.5277
IA13	15.22	25.5	388.11	1.67542707	734557.0764
IA13	15.18	17	258.06	1.119894598	679314.7152
IA13	15.12	20.5	309.96	1.355820106	483519.456
IA13	15.08	18.5	278.98	1.226790451	778866.92
IA13	15.05	21.5	323.575	1.428571429	680187.0075
IA13	15	24	360	1.6	599400
IA13	14.97	18.5	276.945	1.235804943	644738.2893
IA13	14.92	13.5	201.42	0.904825737	593691.2688
IA13	14.87	15	223.05	1.008742434	402432.758
IA13	14.82	13.5	200.07	0.910931174	641546.2404
IA13	14.77	16.5	243.705	1.117129316	667329.7211
IA13	14.73	17.5	257.775	1.188051595	673700.8545
IA13	14.68	20	293.6	1.36239782	724088.064
IA13	14.65	26	380.9	1.774744027	717697.64
IA13	14.6	28.5	416.1	1.952054795	635856.28
IA13	14.55	29	421.95	1.993127148	602081.91
IA13	14.52	25	363	1.721763085	632491.2
IA13	14.45	27.5	397.375	1.903114187	614923.3625
IA13	14.4	29.5	424.8	2.048611111	692375.04
IA13	14.37	31.5	452.655	2.192066806	774156.8781
IA13	14.32	32.5	465.4	2.269553073	710541.216
IA13	14.27	31.5	449.505	2.207428171	763419.7421
IA13	14.22	31	440.82	2.180028129	851701.7808
IA13	14.18	32	453.76	2.256699577	923324.4608
IA13	14.13	30.5	430.965	2.158527955	996487.5879
IA13	14.08	28.5	401.28	2.024147727	653618.3808
IA13	14.02	16	224.32	1.141226819	622703.3472
IA13	13.98	14.5	202.71	1.037195994	731142.5364
IA13	13.93	23.5	327.355	1.687006461	827213.4087
IA13	13.88	27.5	381.7	1.981268012	627090.072
IA13	13.83	26	359.58	1.879971077	697748.9472
IA13	13.8	28	386.4	2.028985507	594172.8
IA13	13.75	26	357.5	1.890909091	459800
IA13	13.7	31	424.7	2.262773723	972984.96
IA13	13.65	30.5	416.325	2.234432234	929935.5975
IA13	13.62	30	408.6	2.202643172	771698.304
IA13	13.57	21.5	291.755	1.584377303	658318.0175
IA13	13.5	12.5	168.75	0.925925926	569531.25
IA13	13.45	12	161.4	0.892193309	538365.84
IA13	13.4	12.5	167.5	0.932835821	561125
IA13	13.37	7	93.59	0.523560209	285296.0124
IA13	13.32	8.5	113.22	0.638138138	228342.6288
IA13	13.27	23	305.21	1.733232856	771286.902
IA13	13.22	30	396.6	2.269288956	447407.104
IA13	13.18	12	158.16	0.91047041	430806.752
IA13	13.13	10.5	137.865	0.799695354	438060.5229
IA13	13.08	13	170.04	0.993883792	560479.0464
IA13	13.03	12.5	162.875	0.959324635	530565.3125
IA13	13	14	182	1.076923077	475904
IA13	12.95	13	168.35	1.003861004	549393.39
IA13	12.9	19	245.1	1.472868217	597079.08
IA13	12.83	24	307.92	1.870615744	535966.5784
IA13	12.8	19.5	249.6	1.5234375	705986.56
IA13	12.75	12	153	0.941176471	483786
IA13	12.7	13	165.1	1.023622047	528386.04
IA13	12.65	18	227.7	1.422924901	565839.56
IA13	12.62	16.5	208.23	1.307448494	699011.4516
