env_code	DL	GDD	PTT	PTR	PTS
KS11	15.92	36.55	581.876	2.295854271	837947.0221
KS11	15.93	30.5	485.865	1.914626491	1021403.723
KS11	15.93	25.5	406.215	1.600753296	1111236.497
KS11	15.95	18	287.1	1.128526646	837289.508
KS11	15.97	23.9	381.683	1.496556043	678510.8104
KS11	15.98	33.6	536.928	2.102628285	1238191.508
KS11	15.98	29.5	471.41	1.846057572	1096262.197
KS11	15.98	24.6	393.108	1.53942428	1104893.379
KS11	16	24.2	387.2	1.5125	744611.84
KS11	16	27.65	442.4	1.728125	910430.72
KS11	16.02	25.2	403.704	1.573033708	833732.2691
KS11	16	30.5	488	1.90625	939724.8
KS11	16	34.9	558.4	2.18125	530319.36
KS11	16	20.7	331.2	1.29375	456099.84
KS11	16	20.5	328	1.28125	974592
KS11	16.02	20.4	326.808	1.27340824	1047914.081
KS11	16	25.5	408	1.59375	966400
KS11	16	26.65	426.4	1.665625	820216.32
KS11	16	32.95	527.2	2.059375	930101.76
KS11	15.98	29.95	478.601	1.874217772	1065718.54
KS11	15.98	20.95	334.781	1.311013767	1090692.787
KS11	15.97	33.05	527.8085	2.069505322	1275105.034
KS11	15.97	39.5	630.815	2.473387602	958698.7431
KS11	15.95	38.5	614.075	2.413793103	1035672.578
KS11	15.93	34.05	542.4165	2.13747646	1275470.603
KS11	15.92	28.1	447.352	1.765075377	712589.8982
KS11	15.92	30.85	491.132	1.93781407	905708.4516
KS11	15.9	34.6	550.14	2.176100629	1154937.204
KS11	15.88	31.5	500.22	1.983627204	1019389.795
KS11	15.87	28.1	445.947	1.770636421	708120.86
KS11	15.85	27	427.95	1.703470032	936256.013
KS11	15.83	31.5	498.645	1.989892609	939457.7861
KS11	15.82	37	585.34	2.338811631	1045137.542
KS11	15.78	36.5	575.97	2.313054499	1163118.236
KS11	15.77	36	567.72	2.282815472	1112154.649
KS11	15.75	30.95	487.4625	1.965079365	879532.8806
KS11	15.73	35.55	559.2015	2.260012715	893284.7299
KS11	15.7	39.05	613.085	2.487261146	961407.1311
KS11	15.68	39.05	612.304	2.490433673	958959.2463
KS11	15.65	37.5	586.875	2.396166134	1071535.938
KS11	15.62	36.95	577.159	2.365556978	1107393.955
KS11	15.6	35.55	554.58	2.278846154	1203364.094
KS11	15.58	37.5	584.25	2.406931964	1061971.75
KS11	15.55	41	637.55	2.636655949	792144.99
KS11	15.52	36.95	573.464	2.380798969	1093260.163
KS11	15.48	40.5	626.94	2.61627907	824088.9456
KS11	15.45	37.6	580.92	2.433656958	1037152.814
KS11	15.42	31.5	485.73	2.042801556	961187.3194
KS11	15.38	35.5	545.99	2.308192458	1092125.495
KS11	15.35	41.45	636.2575	2.700325733	736930.5748
KS11	15.32	37.5	574.5	2.447780679	1026823
KS11	15.28	32.45	495.836	2.123691099	727661.1162
KS11	15.25	34.05	519.2625	2.232786885	1012528.287
KS11	15.22	37.5	570.75	2.463863338	1013461.75
KS11	15.18	37.5	569.25	2.470355731	1008141.75
KS11	15.15	36	545.4	2.376237624	1105380.36
KS11	15.12	38	574.56	2.513227513	724250.4192
KS11	15.08	31.3	472.004	2.075596817	717339.8444
KS11	15.03	30.4	456.912	2.022621424	770087.1321
KS11	15	33.9	508.5	2.26	755100
KS11	14.98	32.5	486.85	2.169559413	777547.386
KS11	14.95	29.1	435.045	1.946488294	707161.91
KS11	14.9	28.95	431.355	1.94295302	907934.3161
KS11	14.87	25	371.75	1.681237391	597015.63
KS11	14.82	24.5	363.09	1.65317139	752680.2348
KS11	14.78	24.9	368.022	1.684709066	654471.4064
KS11	14.73	27	397.71	1.83299389	808614.6037
KS11	14.7	21.95	322.665	1.493197279	873779.3631
KS11	14.65	25.75	377.2375	1.757679181	738097.5086
KS11	14.62	33.45	489.039	2.287961696	745585.3535
KS11	14.58	31.5	459.27	2.160493827	589049.2044
KS11	14.55	33.6	488.88	2.309278351	884916.45
KS11	14.52	29.4	426.888	2.024793388	970916.1581
KS11	14.47	29.5	426.865	2.03870076	765705.9513
KS11	14.43	29.4	424.242	2.037422037	826652.853
KS11	14.38	35.45	509.771	2.465229485	816341.3865
KS11	14.35	35.55	510.1425	2.477351916	1018243.519
KS11	14.3	33	471.9	2.307692308	1154141.56
KS11	14.27	23.5	335.345	1.646811493	933941.9326
KS11	14.22	29	412.38	2.039381153	1277957.088
KS11	14.18	31.05	440.289	2.189703808	1111449.809
KS11	14.13	32.05	452.8665	2.268223638	920659.8938
KS11	14.08	27.5	387.2	1.953125	829661.184
KS11	14.05	32.75	460.1375	2.330960854	728543.5366
KS11	14	33.45	468.3	2.389285714	1082780.44
KS11	13.97	40.5	565.785	2.899069435	671158.3351
KS11	13.92	37.95	528.264	2.726293103	821412.5852
KS11	13.87	37.55	520.8185	2.707281903	636650.1891
KS11	13.83	19	262.77	1.373825018	527902.164
KS11	13.78	12.95	178.451	0.939767779	619189.9936
KS11	13.75	14.5	199.375	1.054545455	707282.8125
KS11	13.7	15.5	212.35	1.131386861	762209.09
KS11	13.65	14.5	197.925	1.062271062	697032.4725
KS11	13.62	17.55	239.031	1.288546256	824528.1021
KS11	13.57	19.4	263.258	1.429624171	690101.4272
KS11	13.52	20.55	277.836	1.519970414	853706.1121
KS11	13.48	26	350.48	1.928783383	1110323.228
KS11	13.43	25.5	342.465	1.898734177	680877.4975
KS11	13.4	16.45	220.43	1.22761194	408066.2604
KS11	13.35	7	93.45	0.524344569	284443.11
KS11	13.32	5.05	67.266	0.379129129	197295.483
KS11	13.28	8.1	107.568	0.609939759	258209.8606
KS11	13.23	17.05	225.5715	1.288737717	232371.9277
KS11	13.18	17	224.06	1.28983308	791433.6944
KS11	13.15	18.45	242.6175	1.403041825	778844.6692
KS11	13.1	14.45	189.295	1.103053435	418077.9981
KS11	13.05	13.5	176.175	1.034482759	583967.2725
KS11	13.02	11.95	155.589	0.91781874	501985.5037
KS11	12.97	12.5	162.125	0.963762529	525690.3125
KS11	12.93	10	129.3	0.773395205	401243.76
KS11	12.88	12.95	166.796	1.005434783	540950.1185
KS11	12.83	16.45	211.0535	1.282151208	719737.6004
KS11	12.8	20	256	1.5625	917504
KS11	12.75	16	204	1.254901961	686664
KS11	12.73	11.95	152.1235	0.938727416	479872.668
KS11	12.68	13.5	171.18	1.06466877	551322.8496
KS11	12.63	15.5	195.765	1.227236738	647798.1309
KS11	12.6	18.55	233.73	1.472222222	807518.4516
KS11	12.55	27.45	344.4975	2.187250996	705077.2665
KS11	12.52	19	237.88	1.517571885	735472.8768
KS11	12.47	24.45	304.8915	1.960705694	483920.3558
KS11	12.43	26.45	328.7735	2.127916331	399242.2066
