env_code	DL	GDD	PTT	PTR	PTS
PR14S	13.97	31.5	440.055	2.254831782	400821.4564
PR14S	13.97	31.5	440.055	2.254831782	400821.4564
PR14S	13.98	32.4	452.952	2.317596567	463803.522
PR14S	13.98	30.6	427.788	2.188841202	453671.8917
PR14S	13.98	28.8	402.624	2.060085837	277212.6634
PR14S	14	27	378	1.928571429	108662.4
PR14S	14	27.9	390.6	1.992857143	384763.68
PR14S	14	32.4	453.6	2.314285714	465131.52
PR14S	14.02	31.5	441.63	2.2467903	519037.3922
PR14S	14.02	33.3	466.866	2.375178317	530500.7948
PR14S	14	29.7	415.8	2.121428571	168708.96
PR14S	14.02	36	504.72	2.567760342	365130.599
PR14S	14.02	31.5	441.63	2.2467903	519037.3922
PR14S	14.02	32.4	454.248	2.310984308	349846.0623
PR14S	14.02	31.5	441.63	2.2467903	519037.3922
PR14S	14.03	33.3	467.199	2.373485388	531257.8418
PR14S	14.02	36	504.72	2.567760342	365130.599
PR14S	14.02	31.05	435.321	2.214693295	200733.3773
PR14S	14.02	31.05	435.321	2.214693295	200733.3773
PR14S	14.02	26.1	365.922	1.861626248	53849.68718
PR14S	14	26.1	365.4	1.864285714	53696.16
PR14S	14.02	32.4	454.248	2.310984308	466461.4164
PR14S	14.02	34.2	479.484	2.439372325	476651.1076
PR14S	14.02	34.2	479.484	2.439372325	357488.3307
PR14S	14	32.4	453.6	2.314285714	465131.52
PR14S	14	33.3	466.2	2.378571429	411435.36
PR14S	14	29.7	415.8	2.121428571	281181.6
PR14S	13.98	32.4	452.952	2.317596567	463803.522
PR14S	13.98	32.4	452.952	2.317596567	463803.522
PR14S	13.98	33.3	465.534	2.381974249	527478.0044
PR14S	13.97	32.4	452.628	2.319255548	578925.2938
PR14S	13.97	32.4	452.628	2.319255548	463140.235
PR14S	13.97	34.2	477.774	2.448103078	354943.032
PR14S	13.95	34.2	477.09	2.451612903	353927.4588
PR14S	13.95	33.3	464.535	2.387096774	525216.5793
PR14S	13.93	35.1	488.943	2.519741565	416133.1689
PR14S	13.93	34.2	476.406	2.455132807	352913.3405
PR14S	13.93	29.7	413.721	2.132089017	167026.0881
PR14S	13.92	27	375.84	1.939655172	107424.0922
PR14S	13.9	26.1	362.79	1.877697842	158795.4348
PR14S	13.9	27	375.3	1.942446043	107115.624
PR14S	13.88	31.5	437.22	2.26945245	395673.6067
PR14S	13.88	33.3	462.204	2.399135447	404412.4103
PR14S	13.88	33.3	462.204	2.399135447	404412.4103
PR14S	13.85	32.4	448.74	2.339350181	455217.8112
PR14S	13.85	33.3	461.205	2.40433213	402666.1191
PR14S	13.83	35.1	485.433	2.537960954	410179.9814
PR14S	13.83	31.5	435.645	2.277657267	505064.6573
PR14S	13.82	33.3	460.206	2.409551375	515473.2082
PR14S	13.8	36	496.8	2.608695652	353761.344
PR14S	13.8	36	496.8	2.608695652	471681.792
PR14S	13.77	36	495.72	2.614379085	352224.923
PR14S	13.77	34.2	470.934	2.483660131	459803.698
PR14S	13.75	33.3	457.875	2.421818182	510264.5625
PR14S	13.73	31.5	432.495	2.294246176	387167.794
PR14S	13.73	32.4	444.852	2.359796067	447363.7332
PR14S	13.72	37.8	518.616	2.755102041	118996.7869
PR14S	13.7	34.2	468.54	2.496350365	341355.5568
PR14S	13.68	29.7	406.296	2.171052632	268474.487
PR14S	13.68	29.7	406.296	2.171052632	53694.89741
PR14S	13.65	27	368.55	1.978021978	103297.194
PR14S	13.65	30.6	417.69	2.241758242	108126.6732
PR14S	13.63	32.4	441.612	2.377109318	220435.4385
PR14S	13.6	34.2	465.12	2.514705882	336390.4512
PR14S	13.6	29.7	403.92	2.183823529	159206.1696
PR14S	13.58	31.5	427.77	2.319587629	378754.4023
PR14S	13.57	32.4	439.668	2.387619749	436997.9451
PR14S	13.55	33.3	451.215	2.457564576	495528.4593
PR14S	13.53	35.1	474.903	2.594235033	392577.7613
PR14S	13.52	35.1	474.552	2.596153846	391997.6686
