env_code	TrialYear	PlantingDate	HarvestingDate	lat	lon	site
Rupert_05	2005	2005-04-08	2005-08-25	42.648704	-113.774263	Rupert
Aberdeen_05	2005	2005-04-07	2005-08-22	42.96312	-112.82371	Aberdeen
Idaho Falls_05	2005	2005-04-11	2005-08-23	43.474749	-112.123282	Idaho Falls
Ashton_05	2005	2005-05-24	2005-09-15	44.017417	-111.258467	Ashton
Soda Springs_05	2005	2005-05-25	2005-09-16	42.72445	-111.62873	Soda Springs
Rupert_06	2006	2006-04-21	2006-08-15	42.6199	-113.8818	Rupert
Aberdeen_06	2006	2006-04-20	2006-08-17	42.96312	-112.82371	Aberdeen
Idaho Falls_06	2006	2006-04-24	2006-08-21	43.47147	-112.11735	Idaho Falls
Ashton_06	2006	2006-05-12	2006-09-11	44.02722	-111.28904	Ashton
Soda Springs_06	2006	2006-05-16	2006-09-16	42.705136	-111.608858	Soda Springs
Rupert_07	2007	2007-03-26	2007-08-06	42.73488889	-113.6751111	Rupert
Aberdeen_07	2007	2007-04-03	2007-08-10	42.96312	-112.82371	Aberdeen
Idaho Falls_07	2007	2007-04-05	2007-08-16	43.47158333	-112.1083611	Idaho Falls
Ashton_07	2007	2007-05-09	2007-08-24	44.07861111	-111.3144444	Ashton
Soda Springs_07	2007	2007-05-04	2007-08-22	42.72416667	-111.6277778	Soda Springs
Rupert_08	2008	2008-04-16	2008-08-20	42.73530833	-113.5222222	Rupert
Aberdeen_08	2008	2008-04-14	2008-08-19	42.96304167	-112.8165389	Aberdeen
Idaho Falls_08	2008	2008-04-18	2008-08-26	43.48204722	-112.1164556	Idaho Falls
Ashton_08	2008	2008-06-05	2008-10-09	44.08365278	-111.3138556	Ashton
Soda Springs_08	2008	2008-06-02	2008-10-02	42.72416667	-111.6277778	Soda Springs
Rupert_09	2009	2009-04-09	2009-08-19	42.72102778	-113.4865833	Rupert
Aberdeen_09	2009	2009-04-14	2009-08-21	42.96323889	-112.8185583	Aberdeen
Idaho Falls_09	2009	2009-04-21	2009-08-20	43.46832222	-112.1102944	Idaho Falls
Ashton_09	2009	2009-05-19	2009-09-24	44.08366111	-111.3164639	Ashton
Soda Springs_09	2009	2009-05-19	2009-09-22	42.82688056	-111.5150583	Soda Springs
Rupert_10	2010	2010-04-09	2010-08-20	42.77194444	-113.5706111	Rupert
Aberdeen_10	2010	2010-04-08	2010-08-25	42.96311944	-112.8192528	Aberdeen
Idaho Falls_10	2010	2010-04-16	2010-09-01	43.475875	-112.1208139	Idaho Falls
Ashton_10	2010	2010-05-17	2010-09-27	44.08165556	-111.3189333	Ashton
Soda Springs_10	2010	2010-06-02	2010-09-27	42.82800833	-111.5034556	Soda Springs
Rupert_11	2011	2011-04-06	2011-08-24	42.72081944	-113.5100361	Rupert
Aberdeen_11	2011	2011-04-11	2011-08-18	42.96338611	-112.8171111	Aberdeen
Idaho Falls_11	2011	2011-04-19	2011-08-26	43.47855556	-112.1256278	Idaho Falls
Ashton_11	2011	2011-06-02	2011-10-20	44.08371944	-111.3159278	Ashton
Soda Springs_11	2011	2011-05-17	2011-09-21	42.70363889	-111.6085556	Soda Springs
Rupert_12	2012	2012-04-02	2012-08-10	42.77211111	-113.5710028	Rupert
Aberdeen_12	2012	2012-04-05	2012-08-15	42.96306667	-112.8208722	Aberdeen
Idaho Falls_12	2012	2012-04-09	2012-08-14	43.47512222	-112.1223944	Idaho Falls
Ashton_12	2012	2012-04-25	2012-08-28	44.07509444	-111.3546611	Ashton
Soda Springs_12	2012	2012-05-09	2012-09-12	42.84083056	-111.6529861	Soda Springs
Rupert_13	2013	2013-03-29	2013-08-13	42.7063667	-113.5301694	Rupert
Aberdeen_13	2013	2013-04-05	2013-08-16	42.95536667	-112.8211778	Aberdeen
Idaho Falls_13	2013	2013-04-19	2013-08-21	43.49120556	-112.1448972	Idaho Falls
Ashton_13	2013	2013-05-02	2013-08-29	44.08940556	-111.3559389	Ashton
Soda Springs_13	2013	2013-04-30	2013-08-29	42.70216944	-111.6134389	Soda Springs
Rupert_14	2014	2014-03-26	2014-08-27	42.72000556	-113.5075972	Rupert
Aberdeen_14	2014	2014-04-08	2014-09-02	42.96502222	-112.8209389	Aberdeen
Idaho Falls_14	2014	2014-04-14	2014-08-29	43.48232778	-112.1257667	Idaho Falls
Ashton_14	2014	2014-05-12	2014-09-12	44.09368889	-111.3550944	Ashton
Soda Springs_14	2014	2014-05-21	2014-09-02	42.76493333	-111.6233444	Soda Springs
Rupert_15	2015	2015-03-20	2015-08-13	42.72075	-113.4878361	Rupert
Aberdeen_15	2015	2015-03-31	2015-08-14	42.96338611	-112.8209167	Aberdeen
Idaho Falls_15	2015	2015-04-02	2015-08-12	43.47599444	-112.1224333	Idaho Falls
Ashton_15	2015	2015-04-16	2015-08-26	44.07467222	-111.3809056	Ashton
Soda Springs_15	2015	2015-05-01	2015-08-25	42.720325	-111.5798556	Soda Springs
Rupert_16	2016	2016-04-07	2016-08-09	42.74493056	-113.630725	Rupert
Aberdeen_16	2016	2016-04-08	2016-08-15	42.96093333	-112.8214917	Aberdeen
Idaho Falls_16	2016	2016-04-12	2016-08-23	43.48390833	-112.1233472	Idaho Falls
Ashton_16	2016	2016-05-02	2016-09-01	44.05712778	-111.3315972	Ashton
Soda Springs_16	2016	2016-05-04	2016-08-31	42.786375	-111.5937861	Soda Springs
Rupert_17	2017	2017-04-12	2017-08-10	42.72007778	-113.5064	Rupert
Aberdeen_17	2017	2017-04-13	2017-08-17	42.95245278	-112.8257611	Aberdeen
Idaho Falls_17	2017	2017-04-11	2017-08-23	43.47602778	-112.1222111	Idaho Falls
Ashton_17	2017	2017-05-04	2017-08-30	44.07090278	-111.3997944	Ashton
Soda Springs_17	2017	2017-05-10	2017-09-05	42.76277222	-111.6038722	Soda Springs
Rupert_18	2018	2018-04-10	2018-08-20	42.72180556	-113.5699417	Rupert
Aberdeen_18	2018	2018-04-09	2018-08-13	42.95619167	-112.8246778	Aberdeen
Idaho Falls_18	2018	2018-04-17	2018-08-16	43.47869722	-112.123375	Idaho Falls
Ashton_18	2018	2018-04-27	2018-09-05	44.07793056	-111.3858556	Ashton
Soda Springs_18	2018	2018-05-03	2018-08-29	42.74881111	-111.60665	Soda Springs
Rupert_19	2019	2019-03-26	2019-08-14	42.72068333	-113.5083278	Rupert
Aberdeen_19	2019	2019-04-19	2019-08-23	42.95682778	-112.8242	Aberdeen
Idaho Falls_19	2019	2019-04-29	2019-08-27	43.47138056	-112.1048444	Idaho Falls
Ashton_19	2019	2019-04-30	2019-09-04	44.05701944	-111.4047694	Ashton
Soda Springs_19	2019	2019-05-10	2019-09-16	42.78011389	-111.6420556	Soda Springs
Rupert_20	2020	2020-03-24	2020-08-10	42.72180556	-113.5699417	Rupert
Aberdeen_20	2020	2020-04-09	2020-08-28	42.95682778	-112.8242	Aberdeen
Idaho Falls_20	2020	2020-04-20	2020-08-25	43.47869722	-112.123375	Idaho Falls
Ashton_20	2020	2020-05-05	2020-09-11	44.08940556	-111.3559389	Ashton
Soda Springs_20	2020	2020-05-11	2020-09-10	42.81358611	-111.6447361	Soda Springs
