ID_code	meanY_obs	meanY_prd	Rep	trait_code
Ashton_06	73.1538461538462	74.112	1	GY
Ashton_13	80.5230769230769	91.773	1	GY
Rupert_06	87.4692307692308	98.276	1	GY
Rupert_11	101.59375	119.174	1	GY
Rupert_15	105.383333333333	114.779	1	GY
Rupert_17	119.12	117.101	1	GY
Rupert_19	140.125	121.118	1	GY
Soda Springs_05	41.825	43.86	1	GY
Aberdeen_19	96.75	101.583	1	GY
Ashton_11	100.41875	77.451	1	GY
Ashton_18	98.7947368421053	93.859	1	GY
Ashton_20	129.222222222222	97.194	1	GY
Idaho Falls_09	129.257142857143	110.512	1	GY
Idaho Falls_20	125.388888888889	115.27	1	GY
Rupert_10	115.576470588235	117.533	1	GY
Soda Springs_11	50.2625	50.594	1	GY
Soda Springs_14	44.9454545454545	23.477	1	GY
Aberdeen_12	144.725	125.631	1	GY
Ashton_10	58.8529411764706	78.132	1	GY
Ashton_15	106.7	105.125	1	GY
Ashton_16	94.65	81.794	1	GY
Idaho Falls_08	143.188888888889	112.326	1	GY
Idaho Falls_16	90.4866666666667	115.563	1	GY
Soda Springs_12	33.5166666666667	72.233	1	GY
Soda Springs_13	59.7153846153846	80.681	1	GY
Soda Springs_18	57.2	92.868	1	GY
Aberdeen_17	124.213333333333	111.692	1	GY
Ashton_12	62.0083333333333	95.488	1	GY
Ashton_19	79.5	101.131	1	GY
Idaho Falls_10	129.435294117647	122.412	1	GY
Idaho Falls_15	104.608333333333	127.631	1	GY
Idaho Falls_19	118.875	96.2	1	GY
Rupert_07	102.346666666667	107.18	1	GY
Rupert_14	129.908333333333	118.834	1	GY
Rupert_16	123.553333333333	118.147	1	GY
Aberdeen_13	107.846153846154	127.032	1	GY
Aberdeen_20	83.5	106.071	1	GY
Ashton_09	97.8047619047619	87.109	1	GY
Idaho Falls_07	99.96	135.766	1	GY
Idaho Falls_12	115.55	121.524	1	GY
Rupert_09	120.161904761905	103.363	1	GY
Rupert_12	113.508333333333	142.809	1	GY
Soda Springs_17	34.3555555555556	58.929	1	GY
Aberdeen_05	101.591666666667	124.129	1	GY
Aberdeen_11	128.025	114.716	1	GY
Ashton_14	95.5833333333333	61.247	1	GY
Idaho Falls_14	113.716666666667	96.71	1	GY
Idaho Falls_17	138.22	108.696	1	GY
Rupert_08	144.177777777778	120.023	1	GY
Soda Springs_09	87.3714285714286	83.552	1	GY
Soda Springs_16	34.5571428571429	78.541	1	GY
Soda Springs_19	83.3529411764706	64.948	1	GY
Aberdeen_09	128.004761904762	115.248	1	GY
Aberdeen_15	122.008333333333	125.333	1	GY
Ashton_07	80.9733333333333	57.525	1	GY
Ashton_08	107.677777777778	77.44	1	GY
Idaho Falls_06	89.1153846153846	97.288	1	GY
Soda Springs_06	40.4	61.911	1	GY
Soda Springs_07	13.7466666666667	66.374	1	GY
Soda Springs_10	38.1823529411765	33.284	1	GY
Soda Springs_20	62.2777777777778	97.023	1	GY
Aberdeen_06	82.6461538461539	99.813	1	GY
Aberdeen_07	119.02	114.79	1	GY
Aberdeen_14	161.491666666667	97.292	1	GY
Aberdeen_18	137.952631578947	111.674	1	GY
Ashton_05	70.8916666666667	57.028	1	GY
Ashton_17	102.76	99.669	1	GY
Rupert_13	113.338461538462	129.089	1	GY
Rupert_20	117	123.686	1	GY
