line_code	Intcp_mean	Slope_mean	Intcp_para_adj	Intcp_para	Slope_para	R2_mean	R2_para
Alpowa	98.5282	1.0578	97.0345	259.2138	-5.9079	0.95	0.52
Alturas	100.2675	0.9839	100.2675	253.8107	-5.5933	0.95	0.46
Challis	98.9513	1.0136	105.0626	284.1283	-6.5231	0.99	0.58
Eden	95.6332	0.971	92.1198	250.6496	-5.775	0.96	0.75
Jubilee	95.703	0.969	97.9168	251.8786	-5.6086	0.95	0.48
Louise	93.9723	0.9206	94.5183	247.2027	-5.562	0.93	0.47
Nick	97.126	0.9597	94.7146	232.5521	-5.0212	0.96	0.47
Penawawa	94.0416	0.9825	93.2099	233.396	-5.1067	0.97	0.43
Skookum	99.5103	1.0401	105.8853	291.3126	-6.7548	0.96	0.57
Treasure	100.6056	1.0424	107.4612	300.8157	-7.0436	0.95	0.61
UI Pettit	95.4238	0.9985	95.4238	244.978	-5.448	0.92	0.41
Whitebird	88.794	0.8512	82.2514	176.4498	-3.4315	0.82	0.29
Cataldo	93.3882	0.8678	92.3389	217.2968	-4.552	0.96	0.43
Waxy Penawawa	94.7715	1.0445	111.9517	388.5119	-10.0746	0.97	0.73
Whit	95.9444	1.0029	94.3094	245.8927	-5.5219	0.98	0.43
IDO629	99.6646	0.9775	120.1066	341.9128	-8.08	0.93	0.66
IDO630	95.8034	0.9028	115.0586	329.5038	-7.8119	0.96	0.75
IDO644	103.6723	0.9598	105.5541	235.525	-4.7346	0.97	0.45
IDO668	99.0177	0.9354	100.6463	234.2552	-4.8671	0.97	0.5
IDO669	100.8877	1.0233	102.8492	242.9428	-5.1034	0.99	0.46
UI Whitmore	101.5241	1.03	100.9998	235.871	-4.9131	0.98	0.35
Babe	95.0067	1.013	91.6206	249.8186	-5.7629	0.87	0.42
BZ604-002	100.2457	1.0778	116.6346	245.3717	-4.6897	0.99	0.27
Diva	92.9846	0.8249	90.8825	187.4862	-3.5191	0.86	0.26
UI Stone	103.2435	1.0722	103.1523	244.7892	-5.1596	0.96	0.31
IDO 686	104.1983	1.089	86.957	261.218	-6.348	0.98	0.71
IDO 687	102.2095	1.0418	86.5843	257.2818	-6.2182	0.98	0.56
JD	91.4561	0.8818	79.897	204.1526	-4.5264	0.94	0.4
IDO 851	105.2846	1.1094	106.6832	286.1513	-6.5377	0.98	0.54
IDO 852	101.2291	1.1282	109.8363	356.2886	-8.9778	0.99	0.55
IDO 854	100.5632	0.9964	100.7638	320.121	-7.9908	0.96	0.76
Seahawk	101.7735	0.9847	105.4686	226.2096	-4.3984	0.89	0.21
WB6121	95.7522	0.9468	101.1035	274.0593	-6.3005	0.91	0.36
WBexp-125	102.8216	1.2812	101.7426	336.052	-8.5355	0.97	0.53
Tekoa	99.62	0.951	104.2025	213.7937	-3.9922	0.92	0.2
WB6430	103.2343	1.096	107.5797	250.3158	-5.1996	0.96	0.23
M12001	101.075	1.2712	93.5296	245.2077	-5.5254	0.98	0.76
Ryan	95.5471	0.9278	99.4381	152.1722	-1.921	0.86	0.07
IDO1403S	96.2906	1.0329	103.8192	346.0843	-8.8253	0.94	0.37
Melba	101.2154	1.0093	106.8186	206.5077	-3.6315	0.91	0.11
SY Saltese	101.5829	0.9858	109.7815	225.2854	-4.2076	0.97	0.19
UI Cookie	99.9036	1.0765	103.3863	252.102	-5.4175	0.97	0.23
WB-1035CL+	88.4791	0.7695	90.3771	190.0026	-3.6292	0.84	0.19
WA 8277	90.6292	1.0283	110.5461	202.8414	-3.3622	0.93	0.08
WA 8278	105.9651	0.8532	124.0466	161.0122	-1.3466	0.88	0.02
WB6341	99.63	0.9886	115.476	194.782	-2.889	0.97	0.08
IDO1401S	100.3501	1.1836	110.3877	141.0058	-1.1154	0.98	0.01
IDO1702S	95.836	0.9978	102.7374	172.3583	-2.5362	0.98	0.06
WA 8297 CL+	100.2079	0.9171	108.0126	124.8872	-0.6147	0.96	0.01
WA 8303 CL+	103.7585	1.009	112.2686	150.1597	-1.3803	0.96	0.03
AP Coachman	97.247	0.9026	94.4269	246.2298	-5.5299	0.9	0.44
IDO1404S	100.1181	0.9218	92.6826	290.9981	-7.2243	0.99	0.46
IDO1902S	105.0865	1.041	96.7227	320.1535	-8.1392	0.99	0.46
WA 8326	91.225	1.0149	82.6878	306.6802	-8.1597	0.99	0.49
WA 8327	100.2354	1.2017	90.8257	344.7985	-9.2518	0.98	0.44
WA 8328	96.411	1.0175	87.821	312.8887	-8.1988	0.99	0.49
