Para	Day_x	Day_y	midXY	R	P
DTR	1	7	4	-0.1013	0.43
GDD	1	7	4	-0.4677	4.9145
dGDD	1	7	4	0.1898	1.0378
PR	1	7	4	-0.1198	0.5381
PRDTR	1	7	4	-0.0555	0.2042
DTR	1	8	4.5	-0.1178	0.5257
GDD	1	8	4.5	-0.4907	5.4176
dGDD	1	8	4.5	0.1338	0.626
PR	1	8	4.5	-0.1536	0.7601
PRDTR	1	8	4.5	-0.1049	0.4507
DTR	1	9	5	-0.134	0.6269
GDD	1	9	5	-0.504	5.7271
dGDD	2	8	5	0.1338	0.626
PR	1	9	5	-0.1948	1.0792
PRDTR	1	9	5	-0.1455	0.704
DTR	2	9	5.5	-0.1273	0.5845
GDD	1	10	5.5	-0.4975	5.5743
dGDD	2	9	5.5	0.0546	0.2004
PR	1	10	5.5	-0.2217	1.3175
PRDTR	2	9	5.5	-0.167	0.8579
DTR	3	9	6	-0.1419	0.6794
GDD	1	11	6	-0.4922	5.4512
dGDD	3	9	6	0.0489	0.1761
PR	2	10	6	-0.2336	1.4317
PRDTR	2	10	6	-0.1771	0.9355
DTR	3	10	6.5	-0.1243	0.5657
GDD	1	12	6.5	-0.4874	5.343
dGDD	1	12	6.5	-0.0503	0.1819
PR	1	12	6.5	-0.2346	1.4409
PRDTR	2	11	6.5	-0.1797	0.9556
DTR	1	13	7	-0.1326	0.618
GDD	1	13	7	-0.4889	5.3764
dGDD	1	13	7	-0.056	0.2066
PR	2	12	7	-0.2441	1.5362
PRDTR	2	12	7	-0.1824	0.9772
DTR	1	14	7.5	-0.1298	0.6002
GDD	1	14	7.5	-0.4898	5.3985
dGDD	3	12	7.5	-0.0647	0.2451
PR	2	13	7.5	-0.2474	1.5696
PRDTR	2	13	7.5	-0.1954	1.0838
DTR	1	15	8	-0.1546	0.7675
GDD	1	15	8	-0.5006	5.6456
dGDD	4	12	8	-0.0839	0.3379
PR	3	13	8	-0.2473	1.5688
PRDTR	3	13	8	-0.1898	1.0375
DTR	1	16	8.5	-0.161	0.8135
GDD	1	16	8.5	-0.5077	5.8154
dGDD	5	12	8.5	-0.1308	0.6065
PR	3	14	8.5	-0.2269	1.3672
PRDTR	3	14	8.5	-0.1682	0.867
DTR	1	17	9	-0.1661	0.8508
GDD	1	17	9	-0.5134	5.9516
dGDD	5	13	9	-0.1228	0.5563
PR	1	17	9	-0.2209	1.3104
PRDTR	2	16	9	-0.1678	0.8641
DTR	3	16	9.5	-0.1669	0.8574
GDD	1	18	9.5	-0.5108	5.8892
dGDD	5	14	9.5	-0.1191	0.5337
PR	1	18	9.5	-0.2459	1.5542
PRDTR	1	18	9.5	-0.1826	0.9792
DTR	3	17	10	-0.1702	0.8818
GDD	1	19	10	-0.5111	5.8962
dGDD	7	13	10	-0.1368	0.6455
PR	1	19	10	-0.2609	1.7122
PRDTR	1	19	10	-0.2181	1.2839
DTR	6	15	10.5	-0.1653	0.8451
GDD	1	20	10.5	-0.5174	6.051
dGDD	7	14	10.5	-0.1335	0.6238
PR	2	19	10.5	-0.2645	1.7508
PRDTR	2	19	10.5	-0.2268	1.3658
DTR	1	21	11	-0.196	1.0892
GDD	1	21	11	-0.5337	6.4639
dGDD	8	14	11	-0.2413	1.5076
PR	3	19	11	-0.2605	1.7072
PRDTR	3	19	11	-0.2206	1.3078
DTR	1	22	11.5	-0.2108	1.2181
GDD	1	22	11.5	-0.5519	6.9515
dGDD	8	15	11.5	-0.1964	1.0922
PR	4	19	11.5	-0.2396	1.4912
PRDTR	2	21	11.5	-0.2019	1.1393
DTR	1	23	12	-0.2161	1.266
GDD	1	23	12	-0.5702	7.4731
dGDD	9	15	12	-0.1851	0.9989
PR	3	21	12	-0.2301	1.3973
PRDTR	3	21	12	-0.1961	1.0899
DTR	3	22	12.5	-0.2151	1.2567
GDD	1	24	12.5	-0.5766	7.6631
dGDD	7	18	12.5	-0.175	0.9191
PR	6	19	12.5	-0.2171	1.2755
PRDTR	3	22	12.5	-0.1847	0.9959
DTR	3	23	13	-0.2198	1.2998
GDD	1	25	13	-0.5732	7.5596
dGDD	8	18	13	-0.2689	1.7992
PR	8	18	13	-0.2271	1.3691
PRDTR	7	19	13	-0.1919	1.0549
DTR	3	24	13.5	-0.2111	1.2207
GDD	2	25	13.5	-0.5681	7.4108
dGDD	9	18	13.5	-0.2706	1.8188
PR	8	19	13.5	-0.2422	1.5165
