env_code	pop_code	line_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
Aberdeen_05	1	Alpowa	101.9	129.967	114.5	96.074
Aberdeen_06	1	Alpowa	81.929	75.558	89.7	96.533
Aberdeen_07	1	Alpowa	120.696	100.272	116.1	96.044
Aberdeen_08	1	Alpowa	115.708	103.838	119.2	95.987
Aberdeen_09	1	Alpowa	130.058	99.025	130.6	95.776
Aberdeen_10	1	Alpowa	127.165	141.366	133.9	95.715
Aberdeen_11	1	Alpowa	129.804	138.431	138.2	95.635
Aberdeen_12	1	Alpowa	147.445	107.56	153	95.361
Aberdeen_13	1	Alpowa	108.968	100.413	98.4	96.372
Aberdeen_14	1	Alpowa	165.883	102.764	161.6	95.202
Aberdeen_15	1	Alpowa	123.78	112.224	122.2	95.931
Ashton_05	1	Alpowa	69.905	80.051	61.4	97.057
Ashton_06	1	Alpowa	72.171	85.122	67.8	96.939
Ashton_07	1	Alpowa	80.359	66.426	78.8	96.735
Ashton_08	1	Alpowa	108.515	78.973	111.4	96.131
Ashton_09	1	Alpowa	98.091	104.911	100.2	96.339
Ashton_10	1	Alpowa	57.422	105.676	45.4	97.354
Ashton_11	1	Alpowa	100.998	91.973	95.4	96.428
Ashton_12	1	Alpowa	59.796	134.692	72.2	96.857
Ashton_13	1	Alpowa	79.699	98.62	86.4	96.594
Ashton_14	1	Alpowa	95.268	105.413	123.4	95.909
Ashton_15	1	Alpowa	107.851	124.955	92.3	96.485
Idaho Falls_05	1	Alpowa	117.025	119.627	119.9	95.974
Idaho Falls_06	1	Alpowa	88.849	75.519	93.5	96.463
Idaho Falls_07	1	Alpowa	100.305	99.429	106	96.231
Idaho Falls_08	1	Alpowa	146.269	105.071	143.9	95.53
Idaho Falls_09	1	Alpowa	131.458	96.586	129.9	95.789
Idaho Falls_10	1	Alpowa	131.639	126.8	130.3	95.781
Idaho Falls_11	1	Alpowa	135.34	124.172	138.6	95.628
Idaho Falls_12	1	Alpowa	116.593	108.419	129.2	95.802
Idaho Falls_13	1	Alpowa	100.221	85.173	93.3	96.467
Idaho Falls_14	1	Alpowa	115.064	91.045	110.7	96.144
Idaho Falls_15	1	Alpowa	105.391	117.585	102.1	96.304
Rupert_05	1	Alpowa	110.931	119.794	124.2	95.894
Rupert_06	1	Alpowa	87.137	65.35	90.2	96.524
Rupert_07	1	Alpowa	102.81	99.278	109.4	96.169
Rupert_08	1	Alpowa	147.604	94.154	140.2	95.598
Rupert_09	1	Alpowa	122.019	104.779	113.4	96.094
Rupert_10	1	Alpowa	116.893	134.218	118.4	96.002
Rupert_11	1	Alpowa	102.293	147.073	94	96.454
Rupert_12	1	Alpowa	114.484	110.405	125.6	95.869
Rupert_13	1	Alpowa	114.738	107.325	107.1	96.211
Rupert_14	1	Alpowa	132.433	114.606	123.2	95.913
Rupert_15	1	Alpowa	106.381	126.472	94.4	96.446
Soda Springs_05	1	Alpowa	38.653	49.748	42.5	97.407
Soda Springs_06	1	Alpowa	36.9	40.98	44.1	97.378
Soda Springs_07	1	Alpowa	8.53	61.55	13.7	97.941
Soda Springs_08	1	Alpowa	26.783	44.921	23	97.769
Soda Springs_09	1	Alpowa	87.236	72.468	79.9	96.715
Soda Springs_10	1	Alpowa	35.512	58.622	29.4	97.65
Soda Springs_11	1	Alpowa	48.526	70.618	35.6	97.535
Soda Springs_12	1	Alpowa	29.76	67.798	34.1	97.563
Soda Springs_13	1	Alpowa	57.553	71.259	64.6	96.998
Soda Springs_14	1	Alpowa	42.174	54.575	42.8	97.402
Soda Springs_15	1	Alpowa	61.918	62.612	43.2	97.394
Aberdeen_05	1	Alturas	103.284	130.774	130.1	99.89
Aberdeen_06	1	Alturas	84.93	80.146	88.3	100.419
Aberdeen_07	1	Alturas	120.561	103.24	132.4	99.861
Aberdeen_08	1	Alturas	116.254	106.807	120.7	100.009
Aberdeen_09	1	Alturas	129.741	102.43	124.1	99.966
Aberdeen_10	1	Alturas	127.163	142.752	124.5	99.961
Aberdeen_11	1	Alturas	129.631	139.978	129.6	99.896
Aberdeen_12	1	Alturas	146.032	110.627	146.8	99.678
Aberdeen_13	1	Alturas	109.703	103.28	115.1	100.08
Aberdeen_14	1	Alturas	163.508	106.226	147.8	99.666
Aberdeen_15	1	Alturas	123.764	114.775	121	100.005
Aberdeen_16	1	Alturas	119.815	103.318	102.8	100.235
Aberdeen_17	1	Alturas	125.874	103.485	126.2	99.939
Aberdeen_18	1	Alturas	139.632	98.132	132.2	99.863
Aberdeen_19	1	Alturas	99.098	102.946	80	100.524
Aberdeen_20	1	Alturas	85.835	111.359	85	100.461
Ashton_05	1	Alturas	73.396	83.915	74.4	100.595
Ashton_06	1	Alturas	75.58	88.791	78.7	100.541
Ashton_07	1	Alturas	83.381	71.478	80.6	100.516
Ashton_08	1	Alturas	109.552	83.369	113.9	100.095
Ashton_09	1	Alturas	99.944	107.795	96.2	100.319
Ashton_10	1	Alturas	61.312	107.835	69.7	100.654
Ashton_11	1	Alturas	102.543	95.522	96.6	100.314
Ashton_12	1	Alturas	64.699	135.691	63.9	100.728
Ashton_13	1	Alturas	83.009	101.883	75.9	100.576
Ashton_14	1	Alturas	97.615	108.597	105.3	100.204
Ashton_15	1	Alturas	108.622	125.951	110.6	100.137
Ashton_16	1	Alturas	96.763	103.01	99.1	100.282
Ashton_17	1	Alturas	104.665	107.485	113.1	100.105
Ashton_18	1	Alturas	100.697	127.6	114.6	100.086
Ashton_19	1	Alturas	82.071	128.114	71	100.638
Ashton_20	1	Alturas	130.878	131.289	128	99.916
Idaho Falls_05	1	Alturas	117.445	121.63	123.1	99.978
Idaho Falls_06	1	Alturas	91.318	80.098	93.5	100.353
Idaho Falls_07	1	Alturas	101.926	102.566	109.2	100.154
Idaho Falls_08	1	Alturas	144.266	108.006	152	99.613
Idaho Falls_09	1	Alturas	130.849	100.035	130.6	99.884
Idaho Falls_10	1	Alturas	131.019	128.511	131	99.878
Idaho Falls_11	1	Alturas	134.72	126.356	131.4	99.873
Idaho Falls_12	1	Alturas	117.375	111.411	116.2	100.066
Idaho Falls_13	1	Alturas	101.72	89	102	100.246
Idaho Falls_14	1	Alturas	115.805	94.888	99.4	100.278
Idaho Falls_15	1	Alturas	106.488	119.394	114.4	100.089
Idaho Falls_16	1	Alturas	92.622	98	98.3	100.292
Idaho Falls_17	1	Alturas	139.385	115.301	148.1	99.662
Idaho Falls_18	1	Alturas	133.74	89.715	144	99.714
Idaho Falls_19	1	Alturas	120.442	80.028	131	99.878
Idaho Falls_20	1	Alturas	127.016	101.611	128	99.916
Rupert_05	1	Alturas	111.972	122.035	118.7	100.034
Rupert_06	1	Alturas	89.798	70.805	84.7	100.465
Rupert_07	1	Alturas	104.319	102.499	108	100.17
Rupert_08	1	Alturas	145.737	97.802	140.1	99.763
Rupert_09	1	Alturas	121.82	107.508	125.9	99.943
Rupert_10	1	Alturas	117.336	135.282	120.2	100.015
Rupert_11	1	Alturas	103.469	145.554	115.8	100.071
Rupert_12	1	Alturas	115.471	113.368	107.4	100.177
Rupert_13	1	Alturas	115.267	110.012	109.6	100.149
Rupert_14	1	Alturas	131.815	117.103	118.3	100.039
Rupert_15	1	Alturas	107.28	127.341	112.9	100.108
Rupert_16	1	Alturas	125.236	101.231	125	99.954
Rupert_17	1	Alturas	120.803	97.625	124.5	99.961
Rupert_18	1	Alturas	124.512	89.563	114.7	100.085
Rupert_19	1	Alturas	141.52	130.169	142	99.739
Rupert_20	1	Alturas	118.933	112.145	110	100.144
Soda Springs_05	1	Alturas	44.894	55.754	43.4	100.987
Soda Springs_06	1	Alturas	43.556	48.094	40.9	101.019
Soda Springs_07	1	Alturas	17.592	66.524	13.5	101.366
Soda Springs_08	1	Alturas	33.473	50.581	29.7	101.161
Soda Springs_09	1	Alturas	89.639	76.929	89.1	100.409
Soda Springs_10	1	Alturas	41.225	63.293	41.4	101.013
