line_code	Intcp_mean	Slope_mean	R2_mean
Alpowa	98.5282	1.0578	0.947
Alturas	100.2675	0.9839	0.9497
AP Coachman	97.247	0.9026	0.8966
Babe	95.0067	1.013	0.8719
BZ604-002	100.2457	1.0778	0.9886
Cataldo	93.3882	0.8678	0.959
Challis	98.9513	1.0136	0.9856
Diva	92.9846	0.8249	0.8633
Eden	95.6332	0.971	0.9621
IDO 686	104.1983	1.089	0.9829
IDO 687	102.2095	1.0418	0.9807
IDO 851	105.2846	1.1094	0.9789
IDO 852	101.2291	1.1282	0.9907
IDO 854	100.5632	0.9964	0.962
IDO1401S	100.3501	1.1836	0.9786
IDO1403S	96.2906	1.0329	0.9387
IDO1404S	100.1181	0.9218	0.991
IDO1702S	95.836	0.9978	0.9809
IDO1902S	105.0865	1.041	0.9876
IDO629	99.6646	0.9775	0.931
IDO630	95.8034	0.9028	0.9595
IDO644	103.6723	0.9598	0.9719
IDO668	99.0177	0.9354	0.969
IDO669	100.8877	1.0233	0.9858
JD	91.4561	0.8818	0.9409
Jubilee	95.703	0.969	0.9547
Louise	93.9723	0.9206	0.9306
M12001	101.075	1.2712	0.9807
Melba	101.2154	1.0093	0.913
Nick	97.126	0.9597	0.9607
Penawawa	94.0416	0.9825	0.9696
Ryan	95.5471	0.9278	0.8587
Seahawk	101.7735	0.9847	0.8873
Skookum	99.5103	1.0401	0.9605
SY Saltese	101.5829	0.9858	0.9739
Tekoa	99.62	0.951	0.9213
Treasure	100.6056	1.0424	0.9473
UI Cookie	99.9036	1.0765	0.9713
UI Pettit	95.4237	0.9985	0.9162
UI Stone	103.2435	1.0722	0.9587
UI Whitmore	101.5241	1.03	0.9807
WA 8277	90.6292	1.0283	0.9259
WA 8278	105.9651	0.8532	0.8789
WA 8297 CL+	100.2079	0.9171	0.9587
WA 8303 CL+	103.7585	1.009	0.9585
WA 8326	91.225	1.0149	0.9942
WA 8327	100.2354	1.2017	0.9827
WA 8328	96.411	1.0175	0.9867
Waxy Penawawa	94.7715	1.0445	0.9724
WB-1035CL+	88.4791	0.7695	0.841
WB6121	95.7522	0.9468	0.9147
WB6341	99.63	0.9886	0.9749
WB6430	103.2343	1.096	0.9601
WBexp-125	102.8216	1.2812	0.973
Whit	95.9444	1.0029	0.9788
Whitebird	88.794	0.8512	0.8194
