line_code	Soda Springs_07	Soda Springs_08	Soda Springs_12	Soda Springs_17	Soda Springs_16	Soda Springs_10	Soda Springs_06	Soda Springs_05	Soda Springs_14	Soda Springs_11	Soda Springs_18	Ashton_10	Soda Springs_13	Ashton_12	Soda Springs_20	Soda Springs_15	Ashton_05	Ashton_06	Ashton_19	Ashton_13	Ashton_07	Aberdeen_06	Soda Springs_19	Aberdeen_20	Soda Springs_09	Rupert_06	Idaho Falls_06	Idaho Falls_16	Ashton_16	Ashton_14	Aberdeen_19	Ashton_09	Ashton_18	Idaho Falls_13	Idaho Falls_07	Ashton_11	Aberdeen_05	Rupert_11	Rupert_07	Ashton_17	Idaho Falls_15	Rupert_15	Ashton_15	Ashton_08	Aberdeen_13	Rupert_05	Rupert_13	Rupert_12	Idaho Falls_14	Aberdeen_08	Idaho Falls_12	Rupert_10	Idaho Falls_05	Rupert_20	Aberdeen_16	Idaho Falls_19	Aberdeen_07	Rupert_17	Rupert_09	Aberdeen_15	Rupert_18	Rupert_16	Aberdeen_17	Idaho Falls_20	Aberdeen_10	Aberdeen_09	Aberdeen_11	Ashton_20	Idaho Falls_09	Idaho Falls_10	Rupert_14	Idaho Falls_18	Idaho Falls_11	Aberdeen_18	Idaho Falls_17	Rupert_19	Idaho Falls_08	Rupert_08	Aberdeen_12	Aberdeen_14
Alpowa	13.7	23	34.1	NA	NA	29.4	44.1	42.5	42.8	35.6	NA	45.4	64.6	72.2	NA	43.2	61.4	67.8	NA	86.4	78.8	89.7	NA	NA	79.9	90.2	93.5	NA	NA	123.4	NA	100.2	NA	93.3	106	95.4	114.5	94	109.4	NA	102.1	94.4	92.3	111.4	98.4	124.2	107.1	125.6	110.7	119.2	129.2	118.4	119.9	NA	NA	NA	116.1	NA	113.4	122.2	NA	NA	NA	NA	133.9	130.6	138.2	NA	129.9	130.3	123.2	NA	138.6	NA	NA	NA	143.9	140.2	153	161.6
Alturas	13.5	29.7	31.2	34.5	41.8	41.4	40.9	43.4	50.6	56.6	61.3	69.7	61.3	63.9	57	60.9	74.4	78.7	71	75.9	80.6	88.3	80	85	89.1	84.7	93.5	98.3	99.1	105.3	80	96.2	114.6	102	109.2	96.6	130.1	115.8	108	113.1	114.4	112.9	110.6	113.9	115.1	118.7	109.6	107.4	99.4	120.7	116.2	120.2	123.1	110	102.8	131	132.4	124.5	125.9	121	114.7	125	126.2	128	124.5	124.1	129.6	128	130.6	131	118.3	144	131.4	132.2	148.1	142	152	140.1	146.8	147.8
AP Coachman	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	NA	NA	NA	NA	NA	NA	NA	90	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	114	NA	NA	NA	138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Babe	NA	NA	35.6	NA	31.9	37.4	NA	NA	38.9	33.8	NA	57.4	63.7	61.7	NA	45.7	NA	NA	NA	82	NA	NA	NA	NA	96	NA	NA	92	87.3	68.2	NA	102.4	NA	88.6	NA	108.1	NA	104.2	NA	NA	117.3	103.9	94.1	NA	100.3	NA	103.1	128.1	112.9	NA	122	115.1	NA	NA	60.4	NA	NA	NA	114.9	118.9	NA	113.7	NA	NA	135.4	134.4	131.1	NA	124.2	127.8	119.2	NA	131.2	NA	NA	NA	NA	NA	156.9	156.1
BZ604-002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.7	NA	NA	NA	NA	NA	NA	97.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	123.2	NA	NA	NA	NA	NA	NA	131.1	NA	NA	136.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cataldo	18.9	38.5	29	NA	NA	39.9	42.9	NA	NA	55.9	NA	68.2	53.2	59.5	NA	NA	NA	81.4	NA	78	82.8	80.9	NA	NA	87.8	81.7	78.5	NA	NA	NA	NA	102.4	NA	91.5	102.8	91.3	NA	90.8	96	NA	NA	NA	NA	106.5	92.5	NA	107.1	95.1	NA	108.8	103.1	105.3	NA	NA	NA	NA	123.2	NA	106.6	NA	NA	NA	NA	NA	128.8	124.6	112.4	NA	120.4	115.8	NA	NA	116.5	NA	NA	NA	141	136	131.5	NA
Challis	11.7	26.5	NA	NA	NA	NA	40.5	45	NA	NA	NA	NA	NA	NA	NA	NA	75.8	74.1	NA	NA	77.3	82.2	NA	NA	95.3	92.1	87.4	NA	NA	NA	NA	100.2	NA	NA	93.9	NA	90.3	NA	108.3	NA	NA	NA	NA	111.8	NA	115.5	NA	NA	NA	118.3	NA	NA	113.8	NA	NA	NA	120.4	NA	122.1	NA	NA	NA	NA	NA	NA	127.6	NA	NA	128.7	NA	NA	NA	NA	NA	NA	NA	145.1	144.9	NA	NA
Diva	NA	NA	NA	NA	32.9	39.2	NA	NA	NA	NA	NA	55.9	NA	NA	NA	84.2	NA	NA	NA	NA	NA	NA	NA	NA	89.2	NA	NA	91.9	96.4	NA	NA	98.7	NA	NA	NA	NA	NA	NA	NA	NA	72.6	89.2	111.6	NA	NA	NA	NA	NA	NA	NA	NA	102.1	NA	NA	109.6	NA	NA	NA	104.1	105.9	NA	122.2	NA	NA	112.8	124.2	NA	NA	123.8	117.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eden	16.8	NA	NA	NA	NA	NA	36.5	40.2	NA	NA	NA	NA	NA	NA	NA	NA	76.6	67.6	NA	NA	70.8	84.3	NA	NA	NA	87.3	79	NA	NA	NA	NA	NA	NA	NA	94.9	NA	113	NA	94.1	NA	NA	NA	NA	NA	NA	108.6	NA	NA	NA	NA	NA	NA	112.2	NA	NA	NA	116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IDO 686	NA	NA	NA	NA	NA	39.9	NA	NA	NA	54.8	NA	53.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	108.1	NA	116.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	121.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125.7	NA	141.3	NA	NA	136.5	NA	NA	143.2	NA	NA	NA	NA	NA	NA	NA
