line_code	env_code	GY	TW
UI Pettit	Soda Springs_14	40.8	56
IDO 852	Soda Springs_14	46.7	55.3
UI Stone	Soda Springs_14	38.6	55
WB6121	Soda Springs_14	43.6	54.5
Alturas	Ashton_09	96.2	62.5
IDO 851	Soda Springs_14	46.3	55
Penawawa	Soda Springs_14	37.8	53
Alpowa	Soda Springs_14	42.8	55
Babe	Soda Springs_14	38.9	54
Alturas	Soda Springs_14	50.6	58.5
Seahawk	Soda Springs_14	55.8	56
Tekoa	Soda Springs_14	52.5	57
IDO644	Soda Springs_08	42.2	56.6
Nick	Soda Springs_08	31.5	58.1
UI Pettit	Soda Springs_08	33	58.1
UI Pettit	Soda Springs_10	39.6	60.4
Cataldo	Soda Springs_08	38.5	57
Cataldo	Soda Springs_10	39.9	59.7
Whit	Soda Springs_08	31.9	56.3
IDO644	Soda Springs_10	43.2	59.1
IDO668	Soda Springs_08	37.6	57.4
Cataldo	Ashton_08	106.5	59.5
IDO644	Ashton_08	111.5	58.9
Nick	Ashton_08	100.6	59.2
UI Pettit	Ashton_08	102.6	58.4
UI Pettit	Ashton_11	94.9	53.4
UI Pettit	Rupert_06	64.1	62.3
UI Pettit	Soda Springs_06	35	62.6
UI Stone	Soda Springs_10	39.9	59.2
Whit	Soda Springs_10	36.7	59.3
Alturas	Soda Springs_08	29.7	55.4
Cataldo	Ashton_11	91.3	54.3
Eden	Soda Springs_05	40.2	61.4
IDO644	Ashton_11	96.7	53.8
IDO668	Ashton_08	105.9	59.2
IDO668	Soda Springs_10	39.9	58.6
Nick	Soda Springs_05	39.9	60.2
Nick	Soda Springs_10	35.2	58.8
UI Pettit	Ashton_07	95.5	59.4
UI Pettit	Soda Springs_17	32.8	62
Whit	Ashton_08	99.3	59.2
Alturas	Ashton_08	113.9	58.1
Cataldo	Ashton_07	82.8	59.4
Cataldo	Soda Springs_06	42.9	61.5
Diva	Soda Springs_10	39.2	55.9
IDO669	Ashton_08	113.8	58.7
IDO669	Soda Springs_08	32.1	55.6
UI Whitmore	Ashton_08	111.9	58.8
UI Whitmore	Soda Springs_08	36.4	55.9
Jubilee	Soda Springs_08	29.2	55.5
Louise	Soda Springs_05	39.5	59.7
Nick	Rupert_06	96.2	62.2
Nick	Soda Springs_06	38.5	61.3
Penawawa	Soda Springs_08	27.1	56.2
SY Saltese	Soda Springs_17	36.6	62
UI Pettit	Idaho Falls_06	88.3	63.5
UI Pettit	Soda Springs_05	39.2	61.4
WA 8303 CL+	Idaho Falls_18	133.1	62
WB6121	Soda Springs_17	34.4	61.5
Alpowa	Ashton_08	111.4	56.4
Alpowa	Soda Springs_08	23	54.3
Babe	Soda Springs_10	37.4	57.3
Cataldo	Ashton_06	81.4	62.2
Challis	Soda Springs_08	26.5	56
IDO1403S	Soda Springs_17	29.6	62
IDO630	Soda Springs_08	33	53.1
IDO669	Soda Springs_10	38.1	58.2
JD	Soda Springs_10	37	56.9
Jubilee	Ashton_08	104.1	57.7
Nick	Ashton_06	79	62.4
Nick	Ashton_07	71.1	61
Penawawa	Ashton_08	96.9	58.6
Penawawa	Soda Springs_10	37.8	59.9
Skookum	Ashton_08	104.8	56.5
Treasure	Soda Springs_08	21.3	52.5
UI Cookie	Soda Springs_17	34.7	61
UI Pettit	Ashton_05	77.9	60.3
UI Pettit	Ashton_06	80.4	62.3
UI Pettit	Ashton_16	96.2	63.4
UI Stone	Soda Springs_17	33.2	60.5
Waxy Penawawa	Soda Springs_08	26.8	55.1
WB6430	Soda Springs_17	35.4	60.5
Whit	Ashton_07	67.2	60.7
Alturas	Soda Springs_05	43.4	60
Cataldo	Idaho Falls_06	78.5	61.1
Cataldo	Soda Springs_07	18.9	54.8
Challis	Soda Springs_05	45	59.9
IDO 687	Soda Springs_10	37.8	59.3
IDO1702S	Idaho Falls_18	132.7	63.3
IDO630	Ashton_08	107.4	58.2
IDO668	Ashton_11	92.7	54.1
Louise	Soda Springs_17	38	62
Penawawa	Soda Springs_05	42.1	59.4
Skookum	Soda Springs_08	18.8	53.6
SY Saltese	Ashton_18	98.9	61.2
UI Cookie	Ashton_16	88.9	62.3
UI Pettit	Idaho Falls_18	130.7	61
UI Pettit	Rupert_18	117.9	61.8
UI Pettit	Soda Springs_07	17.5	59.5
UI Pettit	Soda Springs_12	35.2	58.8
UI Pettit	Soda Springs_13	56.3	62.2
UI Pettit	Soda Springs_15	46.3	61.3
UI Pettit	Soda Springs_16	33.1	61.7
UI Stone	Ashton_11	112.2	54
UI Stone	Ashton_16	107	63.4
UI Whitmore	Soda Springs_10	36.7	58.4
WA 8303 CL+	Rupert_18	130.6	61.7
WB-1035CL+	Ashton_16	86.4	63.1
WB6121	Ashton_16	84	63.4
Whit	Ashton_11	97.8	53.7
Alpowa	Soda Springs_05	42.5	59.6
Alpowa	Soda Springs_10	29.4	51.5
Alturas	Soda Springs_10	41.4	58
Alturas	Soda Springs_17	34.5	60.5
Cataldo	Soda Springs_11	55.9	58.7
Cataldo	Soda Springs_12	29	60.5
Cataldo	Soda Springs_13	53.2	60.6
Challis	Ashton_08	111.8	57
Eden	Ashton_07	70.8	60.4
Eden	Rupert_06	87.3	63.3
Eden	Soda Springs_06	36.5	62.9
IDO 686	Soda Springs_10	39.9	54.3
IDO 852	Soda Springs_13	55	62.5
IDO1401S	Aberdeen_19	95	59.4
IDO1401S	Idaho Falls_18	141.1	62.3
IDO1401S	Rupert_18	137	61.9
IDO1702S	Rupert_18	120.3	62.3
IDO629	Soda Springs_08	22	51.2
IDO644	Soda Springs_11	64.3	58.4
IDO668	Soda Springs_11	50.5	59.5
Louise	Rupert_06	88.3	62.6
Louise	Soda Springs_06	40.1	61.6
Nick	Ashton_11	100.9	54.6
Nick	Idaho Falls_06	94.8	62.9
Ryan	Idaho Falls_18	147.6	62.5
Ryan	Rupert_18	132.7	60.2
Skookum	Soda Springs_05	43.9	59.1
SY Saltese	Ashton_17	108.1	63.7
SY Saltese	Idaho Falls_18	140.7	63
Treasure	Ashton_08	106.5	55.3
UI Cookie	Idaho Falls_18	128.2	61.3
UI Cookie	Soda Springs_16	28.8	60.1
UI Pettit	Ashton_17	91.9	64.1
UI Pettit	Idaho Falls_13	95.5	63.2
UI Pettit	Soda Springs_09	74.6	61.3
UI Pettit	Soda Springs_11	41	59.7
UI Pettit	Soda Springs_18	55.3	58.9
UI Stone	Idaho Falls_18	137.4	62.3
UI Stone	Soda Springs_13	57.8	62.3
UI Stone	Soda Springs_16	43.3	60.6
WB6121	Ashton_17	99.7	63.4
WB6121	Idaho Falls_18	117.3	62.5
WB6121	Soda Springs_13	61.8	62.1
WB6341	Ashton_17	108.3	63.4
WB6430	Ashton_16	101.7	63.4
WB6430	Idaho Falls_18	136.4	61.5
WBexp-125	Soda Springs_13	55.8	62.3
Whitebird	Soda Springs_05	43.1	60.6
Alpowa	Rupert_06	90.2	61.8
Alturas	Ashton_05	74.4	59.5
Alturas	Ashton_16	99.1	62.7
Alturas	Rupert_06	84.7	62.1
Babe	Ashton_11	108.1	54.8
Cataldo	Soda Springs_09	87.8	61.8
Eden	Ashton_05	76.6	59.3
Eden	Ashton_06	67.6	63.7
Eden	Idaho Falls_06	79	63.8
IDO 687	Ashton_11	104.3	54.5
IDO1401S	Ashton_18	105	60.7
IDO1403S	Ashton_17	86.9	63.4
IDO644	Soda Springs_09	88.1	59.9
Jubilee	Soda Springs_05	40.6	60.1
Louise	Ashton_06	65.3	62
Louise	Ashton_07	81.3	60.5
Louise	Ashton_16	93.9	62.9
Nick	Ashton_05	78.4	59.9
Nick	Soda Springs_07	22	56.1
Nick	Soda Springs_11	47.2	59.2
Penawawa	Ashton_11	101	54
Penawawa	Rupert_06	92.8	62
Ryan	Ashton_18	103	60.6
Ryan	Soda Springs_15	61.3	62.9
Treasure	Soda Springs_05	42.5	59.2
Treasure	Soda Springs_06	42.9	61
UI Cookie	Ashton_17	95.8	62.7
UI Cookie	Soda Springs_18	53.3	57.5
UI Pettit	Aberdeen_06	80.7	62.1
UI Pettit	Ashton_18	87.9	60.5
UI Pettit	Idaho Falls_14	122	56.3
UI Pettit	Idaho Falls_20	129	61.5
UI Stone	Ashton_17	97.5	63.7
UI Stone	Soda Springs_11	59.5	59.7
UI Stone	Soda Springs_15	70.2	62.3
UI Whitmore	Ashton_11	101.3	53.7
WA 8277	Ashton_17	93	64.9
WA 8303 CL+	Ashton_18	107.7	61.9
WA 8303 CL+	Soda Springs_18	55.9	58.7
WB-1035CL+	Soda Springs_16	34.5	59.9
WB6121	Ashton_18	90.4	61.4
WB6121	Rupert_18	116.9	62
WB6121	Soda Springs_16	33.6	60.6
WB6430	Ashton_17	104.9	63.8
WB6430	Rupert_18	126.1	61.7
WB6430	Soda Springs_16	38.2	60.8
Whit	Soda Springs_07	13.8	52.6
Whit	Soda Springs_11	52.3	59
Alpowa	Ashton_07	78.8	59.9
Alturas	Ashton_07	80.6	61
Alturas	Soda Springs_06	40.9	61.1
Alturas	Soda Springs_11	56.6	58.6
Babe	Ashton_16	87.3	63.2
Babe	Soda Springs_11	33.8	59.2
BZ604-002	Ashton_09	97.3	63.4
BZ604-002	Soda Springs_09	90.7	62.5
Cataldo	Aberdeen_06	80.9	60.7
Cataldo	Idaho Falls_13	91.5	61.9
Challis	Ashton_05	75.8	58.3
Challis	Rupert_06	92.1	62.3
IDO 852	Idaho Falls_13	106	63.6
IDO 852	Idaho Falls_14	120.2	57.1
IDO1401S	Soda Springs_18	53.4	58.8
IDO1403S	Ashton_16	93.2	62.9
IDO1702S	Ashton_18	95.9	61.5
IDO1702S	Soda Springs_18	48.7	59.9
IDO629	Ashton_08	121.4	56.3
IDO644	Ashton_09	98	62
Jubilee	Rupert_06	93.3	62.8
Jubilee	Soda Springs_06	41.4	62.3
Louise	Ashton_17	97.6	62.9
Louise	Soda Springs_16	34.6	58.5
Nick	Soda Springs_12	34.5	60
Penawawa	Ashton_05	67.3	58.8
Penawawa	Ashton_07	70.4	61.1
Penawawa	Soda Springs_06	39.7	62
Ryan	Soda Springs_18	50.1	56.9
Skookum	Ashton_07	94	60
Skookum	Rupert_06	95.4	61.8
Skookum	Soda Springs_06	41.2	61.5
SY Saltese	Aberdeen_19	102	60.9
SY Saltese	Rupert_18	121.7	61.8
Tekoa	Ashton_16	87.4	63.9
Treasure	Ashton_07	95.5	59.9
Treasure	Rupert_06	85.5	60.1
UI Cookie	Rupert_18	124.3	60.8
UI Pettit	Ashton_14	68.6	54.1
UI Pettit	Idaho Falls_16	90.5	62
UI Pettit	Rupert_16	110.4	61.4
UI Pettit	Soda Springs_20	58	61
UI Stone	Ashton_14	92.9	57.1
UI Stone	Ashton_18	89.6	59.7
UI Stone	Idaho Falls_13	104.2	62.7
UI Stone	Rupert_18	125.2	61.1
UI Stone	Soda Springs_09	97.3	61.1
UI Stone	Soda Springs_12	34.8	61.4
UI Whitmore	Soda Springs_11	47.6	58.3
WA 8326	Soda Springs_20	53	61.7
Waxy Penawawa	Ashton_08	107.9	57.3
WB-1035CL+	Ashton_18	93.4	61.8
WB-1035CL+	Soda Springs_18	50.9	58.2
WB6121	Idaho Falls_13	103.8	62.3
WB6341	Ashton_18	100.5	60.1
WB6341	Idaho Falls_18	136	62.9
WB6430	Soda Springs_15	62.1	62.7
WB6430	Soda Springs_18	57.7	59.5
WBexp-125	Idaho Falls_13	105.6	63.4
Whit	Soda Springs_12	34.5	59.6
Alpowa	Soda Springs_06	44.1	61.8
Alturas	Aberdeen_19	80	57.6
Alturas	Ashton_11	96.6	52.7
Alturas	Ashton_17	113.1	63.2
Alturas	Idaho Falls_06	93.5	62.4
Alturas	Soda Springs_12	31.2	60.3
Alturas	Soda Springs_16	41.8	59.9
Babe	Soda Springs_13	63.7	61.7
Babe	Soda Springs_15	45.7	60.6
Babe	Soda Springs_16	31.9	59.8
Cataldo	Ashton_09	102.4	62.8
Challis	Ashton_07	77.3	59.8
Challis	Soda Springs_06	40.5	61.3
Diva	Ashton_16	96.4	63
Diva	Soda Springs_16	32.9	59.1
IDO 686	Ashton_11	108.1	53.8
IDO 686	Soda Springs_11	54.8	60
IDO 687	Soda Springs_11	51.2	60
IDO 687	Soda Springs_12	35.6	61.7
IDO 851	Soda Springs_15	64.9	61.6
IDO1403S	Soda Springs_16	32.5	59.3
IDO1702S	Idaho Falls_20	121	62.4
IDO1902S	Soda Springs_20	64	61.3
IDO668	Soda Springs_09	75.8	61.6
IDO669	Ashton_11	103.3	54.1
IDO669	Soda Springs_11	53.7	58.8
Jubilee	Ashton_07	88.2	58.4
Louise	Ashton_05	68.8	58.8
Louise	Idaho Falls_06	91	63.3
Louise	Soda Springs_20	58	60.4
Melba	Ashton_16	104.1	63.2
Nick	Ashton_09	94.4	63
Nick	Soda Springs_09	83.1	62
Penawawa	Soda Springs_11	47.9	59.3
Penawawa	Soda Springs_13	61.7	60.3
Seahawk	Ashton_16	99.5	63.7
Seahawk	Ashton_17	109.7	63.9
SY Saltese	Soda Springs_18	61.8	58.9
Tekoa	Ashton_17	118.2	63.5
Treasure	Ashton_05	71	57.1
Treasure	Idaho Falls_06	93.1	62.8
UI Cookie	Aberdeen_19	106	59
UI Cookie	Idaho Falls_20	132	60.8
UI Stone	Idaho Falls_14	131.2	56.5
UI Stone	Idaho Falls_20	137	61.5
UI Stone	Soda Springs_18	60.2	58.2
UI Stone	Soda Springs_20	65	62.3
UI Whitmore	Soda Springs_12	31.6	60.2
WA 8297 CL+	Aberdeen_19	101	59.1
WA 8297 CL+	Soda Springs_18	57.4	59.2
WA 8303 CL+	Aberdeen_18	143.9	63
WA 8303 CL+	Aberdeen_19	116	61.3
Waxy Penawawa	Ashton_07	65.3	59.6
WB-1035CL+	Aberdeen_19	76	59.3
WB-1035CL+	Idaho Falls_18	114.7	62.5
WB-1035CL+	Rupert_16	100.8	62
WB-1035CL+	Rupert_18	101.1	60.7
WB6121	Ashton_14	98.4	58.1
WB6121	Soda Springs_18	54.4	59.2
WB6341	Rupert_18	118.4	61.3
WB6341	Soda Springs_18	59.6	58
WB6430	Ashton_14	98.4	56.8
WB6430	Ashton_18	101.7	60.7
WB6430	Idaho Falls_14	115.1	56.1
WB6430	Soda Springs_20	56	61.2
Whit	Soda Springs_09	85.5	61.3
Whitebird	Ashton_05	60.6	59.1
Whitebird	Ashton_07	95.8	59.8
Whitebird	Rupert_06	85.5	62.3
Whitebird	Soda Springs_06	41.5	62.3
Alpowa	Ashton_05	61.4	59.3
Alpowa	Ashton_11	95.4	53.3
Alpowa	Idaho Falls_06	93.5	63.5
Alpowa	Soda Springs_11	35.6	59.2
Alpowa	Soda Springs_15	43.2	59
Alturas	Idaho Falls_13	102	62.5
Alturas	Soda Springs_15	60.9	62.5
Babe	Ashton_14	68.2	52.7
Babe	Soda Springs_12	35.6	59.5
Diva	Soda Springs_15	84.2	60.8
IDO 851	Ashton_14	106	57.2
IDO 851	Soda Springs_13	62.9	61.2
IDO 852	Ashton_14	94.7	57.9
IDO 854	Soda Springs_13	59.1	61.5
IDO644	Idaho Falls_09	132.6	60.3
IDO668	Ashton_09	108.2	62.8
IDO669	Ashton_09	94	62.8
IDO669	Soda Springs_09	90.6	62
