env_code	DTR	GDD	dGDD	PR	PRDTR
Aberdeen_11	25.722	11.133	0	1.1	0.0428
Aberdeen_11	16.596	10.89	0.243	1.06	0.0639
Aberdeen_11	25.38	11.682	0.792	3.85	0.1517
Aberdeen_11	17.604	5.85	5.832	1.02	0.0579
Aberdeen_11	21.15	7.947	2.097	0.57	0.027
Aberdeen_11	18.576	13.518	5.571	4.2	0.2261
Aberdeen_11	14.526	14.643	1.125	3.61	0.2485
Aberdeen_11	19.332	7.164	7.479	5.11	0.2643
Aberdeen_11	21.942	5.742	1.422	0.07	0.0032
Aberdeen_11	24.948	9.198	3.456	2.1	0.0842
Aberdeen_11	24.462	7.461	1.737	3.49	0.1427
Aberdeen_11	23.382	5.814	1.647	0.09	0.0038
Aberdeen_11	26.226	9.018	3.204	0.29	0.0111
Aberdeen_11	25.092	9.945	0.927	0.28	0.0112
Aberdeen_11	16.74	6.669	3.276	5.77	0.3447
Aberdeen_11	17.262	5.184	1.485	1.65	0.0956
Aberdeen_11	27.36	9.729	4.545	0.01	4e-04
Aberdeen_11	25.092	11.736	2.007	1.37	0.0546
Aberdeen_11	17.622	5.661	6.075	1.02	0.0579
Aberdeen_11	23.238	8.091	2.43	0.46	0.0198
Aberdeen_11	21.924	7.956	0.135	0.07	0.0032
Aberdeen_11	30.618	13.302	5.346	0.01	3e-04
Aberdeen_11	21.726	9.459	3.843	0.31	0.0143
Aberdeen_11	26.334	11.385	1.926	0	0
Aberdeen_11	37.35	17.379	5.994	0	0
Aberdeen_11	19.854	18.747	1.368	0.13	0.0065
Aberdeen_11	17.478	19.863	1.116	2.89	0.1654
Aberdeen_11	10.71	9.477	10.386	9.78	0.9132
Aberdeen_11	11.826	8.415	1.062	16.93	1.4316
Aberdeen_11	14.328	11.142	2.727	5.6	0.3908
Aberdeen_11	29.862	14.895	3.753	0.18	0.006
Aberdeen_11	33.48	21.456	6.561	0.15	0.0045
Aberdeen_11	30.366	27.513	6.057	0.05	0.0016
Aberdeen_11	29.016	26.28	1.233	0.78	0.0269
Aberdeen_11	37.026	21.267	5.013	0.48	0.013
Aberdeen_11	15.858	8.055	13.212	0.25	0.0158
Aberdeen_11	19.782	11.889	3.834	0.33	0.0167
Aberdeen_11	12.87	10.323	1.566	5.43	0.4219
Aberdeen_11	21.708	17.172	6.849	1.04	0.0479
Aberdeen_11	19.224	17.676	0.504	0.7	0.0364
Aberdeen_11	24.894	21.501	3.825	0.39	0.0157
Aberdeen_11	19.584	19.854	1.647	1.4	0.0715
Aberdeen_11	16.956	19.206	0.648	6.11	0.3603
Aberdeen_11	17.028	16.2	3.006	4.63	0.2719
Aberdeen_11	27.918	17.397	1.197	2.3	0.0824
Aberdeen_11	14.994	8.505	8.892	1.22	0.0814
Aberdeen_11	24.192	10.962	2.457	2.11	0.0872
Aberdeen_11	23.598	11.493	0.531	1.71	0.0725
Aberdeen_11	12.348	8.586	2.907	9.86	0.7985
Aberdeen_11	17.478	10.755	2.169	4.85	0.2775
Aberdeen_11	31.338	19.107	8.352	0.05	0.0016
Aberdeen_11	30.6	25.092	5.985	0.04	0.0013
Aberdeen_11	18.468	10.764	14.328	0.24	0.013
Aberdeen_11	31.374	14.913	4.149	0	0
Aberdeen_11	38.016	25.056	10.143	0	0
Aberdeen_11	33.426	30.411	5.355	0	0
Aberdeen_11	29.196	29.772	0.639	2.75	0.0942
Aberdeen_11	16.542	22.653	7.119	2.33	0.1409
Aberdeen_11	27.54	18.756	3.897	4.85	0.1761
Aberdeen_11	21.78	13.86	4.896	2.3	0.1056
Aberdeen_11	32.238	21.897	8.037	0.24	0.0074
Aberdeen_11	23.256	25.326	3.429	1.75	0.0752
Aberdeen_11	23.328	23.166	2.16	2.37	0.1016
Aberdeen_11	19.206	24.039	0.873	1.55	0.0807
Aberdeen_11	29.646	24.687	0.648	0	0
Aberdeen_11	27.738	27.333	2.646	0.01	4e-04
Aberdeen_11	19.026	16.317	11.016	0.14	0.0074
Aberdeen_11	33.39	20.619	4.302	0.01	3e-04
Aberdeen_11	29.484	27.612	6.993	4.69	0.1591
Aberdeen_11	22.788	23.238	4.374	3.85	0.1689
Aberdeen_11	29.016	24.732	1.494	0.03	0.001
Aberdeen_11	32.166	30.879	6.147	0	0
Aberdeen_11	34.452	35.226	4.347	0.43	0.0125
Aberdeen_11	31.248	38.682	3.456	0.92	0.0294
Aberdeen_11	25.218	31.203	7.479	0.01	4e-04
Aberdeen_11	25.992	29.088	2.115	0.01	4e-04
Aberdeen_11	25.542	30.033	0.945	0.04	0.0016
