env_code	DTR	GDD	dGDD	PR	PRDTR
Ashton_17	29.034	19.665	0	0.18	0.0062
Ashton_17	31.806	20.115	0.45	0.18	0.0057
Ashton_17	28.584	21.384	1.269	0.96	0.0336
Ashton_17	13.32	15.552	5.832	2.14	0.1607
Ashton_17	28.476	17.352	1.8	0.28	0.0098
Ashton_17	19.494	15.183	2.169	0.89	0.0457
Ashton_17	28.152	17.388	2.205	0.09	0.0032
Ashton_17	27.162	21.087	3.699	0.05	0.0018
Ashton_17	25.65	20.565	0.522	0.45	0.0175
Ashton_17	19.278	6.795	13.77	1.72	0.0892
Ashton_17	24.948	8.019	1.224	0.03	0.0012
Ashton_17	16.938	10.989	2.97	0.41	0.0242
Ashton_17	19.908	8.199	2.79	6.57	0.33
Ashton_17	11.394	2.862	5.337	7.93	0.696
Ashton_17	18.36	5.823	2.961	2.85	0.1552
Ashton_17	28.764	10.053	4.23	0.34	0.0118
Ashton_17	16.542	7.56	2.493	2.46	0.1487
Ashton_17	25.524	13.068	5.508	0.88	0.0345
Ashton_17	18.81	16.299	3.231	0.68	0.0362
Ashton_17	25.848	20.016	3.717	0.44	0.017
Ashton_17	30.276	16.02	3.996	0.81	0.0268
Ashton_17	26.244	10.197	5.823	0.19	0.0072
Ashton_17	12.348	5.76	4.437	4.41	0.3571
Ashton_17	23.544	11.745	5.985	1	0.0425
Ashton_17	22.5	19.098	7.353	0.49	0.0218
Ashton_17	30.654	20.349	1.251	0.01	3e-04
Ashton_17	23.706	24.183	3.834	0.22	0.0093
Ashton_17	27.666	24.993	0.81	0.37	0.0134
Ashton_17	20.07	23.643	1.35	3.24	0.1614
Ashton_17	20.448	22.194	1.449	0.32	0.0156
Ashton_17	29.088	22.716	0.522	0	0
Ashton_17	26.928	29.934	7.218	0.6	0.0223
Ashton_17	19.368	24.102	5.832	0.2	0.0103
Ashton_17	29.79	24.435	0.333	0.36	0.0121
Ashton_17	29.106	29.817	5.382	0.84	0.0289
Ashton_17	23.85	28.377	1.44	0.01	4e-04
Ashton_17	17.514	16.065	12.312	7.26	0.4145
Ashton_17	14.112	13.392	2.673	1.41	0.0999
Ashton_17	24.552	18.036	4.644	1.47	0.0599
Ashton_17	34.902	18.207	0.171	13.64	0.3908
Ashton_17	14.184	7.011	11.196	13.17	0.9285
Ashton_17	23.598	13.707	6.696	0.36	0.0153
Ashton_17	19.71	17.649	3.942	0.71	0.036
Ashton_17	11.07	20.331	2.682	7.19	0.6495
Ashton_17	18.234	19.935	0.396	1.2	0.0658
Ashton_17	24.516	20.574	0.639	0.19	0.0078
Ashton_17	27.54	25.092	4.518	0.01	4e-04
Ashton_17	28.494	28.935	3.843	0.84	0.0295
Ashton_17	24.03	30.267	1.332	0.04	0.0017
Ashton_17	24.534	20.781	9.486	0.17	0.0069
Ashton_17	29.682	17.883	2.898	0.05	0.0017
Ashton_17	31.122	21.285	3.402	0.01	3e-04
Ashton_17	31.536	25.056	3.771	0	0
Ashton_17	29.628	29.52	4.464	0.06	0.002
Ashton_17	13.608	25.344	4.176	4.72	0.3469
Ashton_17	12.906	21.195	4.149	5.82	0.451
Ashton_17	17.298	15.993	5.202	3.44	0.1989
Ashton_17	29.34	20.43	4.437	0.01	3e-04
Ashton_17	28.836	26.226	5.796	0.24	0.0083
Ashton_17	19.476	29.916	3.69	1.26	0.0647
Ashton_17	25.092	31.77	1.854	0.08	0.0032
Ashton_17	25.614	31.635	0.135	1.29	0.0504
Ashton_17	23.526	38.763	7.128	0.13	0.0055
Ashton_17	27	36.45	2.313	2.09	0.0774
Ashton_17	25.65	35.253	1.197	0.69	0.0269
Ashton_17	27.864	36.864	1.611	0.25	0.009
Ashton_17	21.906	35.181	1.683	1.42	0.0648
Ashton_17	24.174	33.651	1.53	0.91	0.0376
Ashton_17	23.886	32.913	0.738	0.21	0.0088
Ashton_17	26.64	30.204	2.709	0.01	4e-04
Ashton_17	31.77	33.561	3.357	0.1	0.0031
Ashton_17	32.004	37.872	4.311	0.04	0.0012
Ashton_17	23.67	38.745	0.873	1.85	0.0782
Ashton_17	23.94	35.748	2.997	1.54	0.0643
Ashton_17	27.576	32.526	3.222	0.49	0.0178
Ashton_17	29.16	32.886	0.36	0.45	0.0154
Ashton_17	29.502	36.027	3.141	0.01	3e-04
Ashton_17	28.638	34.605	1.422	1.59	0.0555
Ashton_17	25.704	32.454	2.151	0	0
