env_code	DTR	GDD	dGDD	PR	PRDTR
Idaho Falls_09	27.36	25.83	0	0.01	4e-04
Idaho Falls_09	30.294	24.525	1.305	0.24	0.0079
Idaho Falls_09	23.418	18.819	5.706	0.39	0.0167
Idaho Falls_09	17.712	8.82	9.999	0.82	0.0463
Idaho Falls_09	25.47	10.629	1.809	0.12	0.0047
Idaho Falls_09	12.906	6.003	4.626	1.17	0.0907
Idaho Falls_09	27.18	10.035	4.032	1.38	0.0508
Idaho Falls_09	18.432	9.234	0.801	8.11	0.44
Idaho Falls_09	19.278	7.263	1.971	1.13	0.0586
Idaho Falls_09	19.458	8.928	1.665	1.09	0.056
Idaho Falls_09	23.958	10.494	1.566	0.28	0.0117
Idaho Falls_09	12.258	9.603	0.891	8.14	0.6641
Idaho Falls_09	21.15	11.907	2.304	9.75	0.461
Idaho Falls_09	21.906	10.665	1.242	0.89	0.0406
Idaho Falls_09	18.954	18.243	7.578	5.8	0.306
Idaho Falls_09	19.404	17.064	1.179	1.21	0.0624
Idaho Falls_09	22.572	11.079	5.985	0.74	0.0328
Idaho Falls_09	24.912	9.954	1.125	0.03	0.0012
Idaho Falls_09	28.098	12.735	2.781	0.13	0.0046
Idaho Falls_09	26.19	16.191	3.456	0.02	8e-04
Idaho Falls_09	30.672	22.212	6.021	0.05	0.0016
Idaho Falls_09	24.3	11.106	11.106	0.13	0.0053
Idaho Falls_09	30.924	11.25	0.144	0.05	0.0016
Idaho Falls_09	20.844	13.446	2.196	1.14	0.0547
Idaho Falls_09	25.38	15.624	2.178	0.02	8e-04
Idaho Falls_09	35.406	20.835	5.211	0.02	6e-04
Idaho Falls_09	33.21	30.213	9.378	0.02	6e-04
Idaho Falls_09	35.982	34.443	4.23	0	0
Idaho Falls_09	22.662	32.139	2.304	0.33	0.0146
Idaho Falls_09	23.436	21.672	10.467	0.01	4e-04
Idaho Falls_09	34.29	21.159	0.513	0.16	0.0047
Idaho Falls_09	33.354	28.773	7.614	0	0
Idaho Falls_09	28.008	29.322	0.549	0.57	0.0204
Idaho Falls_09	10.602	22.545	6.777	7.83	0.7385
Idaho Falls_09	22.23	23.319	0.774	1.17	0.0526
Idaho Falls_09	21.168	25.596	2.277	0.4	0.0189
Idaho Falls_09	30.114	28.341	2.745	0.02	7e-04
Idaho Falls_09	29.592	32.202	3.861	0.01	3e-04
Idaho Falls_09	27.918	35.433	3.231	0.03	0.0011
Idaho Falls_09	27.756	35.478	0.045	1.18	0.0425
Idaho Falls_09	16.38	31.266	4.212	2.33	0.1422
Idaho Falls_09	18.522	26.829	4.437	9.29	0.5016
Idaho Falls_09	14.328	22.68	4.149	8.01	0.559
Idaho Falls_09	20.07	26.037	3.357	2.37	0.1181
Idaho Falls_09	27.072	33.462	7.425	0.73	0.027
Idaho Falls_09	24.39	27.531	5.931	4.23	0.1734
Idaho Falls_09	14.562	19.179	8.352	12.35	0.8481
Idaho Falls_09	13.302	16.893	2.286	11.95	0.8984
Idaho Falls_09	23.58	19.62	2.727	3.44	0.1459
Idaho Falls_09	26.55	21.501	1.881	2.48	0.0934
Idaho Falls_09	9.018	20.169	1.332	6.56	0.7274
Idaho Falls_09	11.52	19.35	0.819	5.13	0.4453
Idaho Falls_09	20.772	22.41	3.06	2.98	0.1435
Idaho Falls_09	16.524	23.76	1.35	3.93	0.2378
Idaho Falls_09	15.948	21.87	1.89	4.5	0.2822
Idaho Falls_09	12.906	21.339	0.531	4	0.3099
Idaho Falls_09	23.652	24.948	3.609	1.12	0.0474
Idaho Falls_09	11.934	24.471	0.477	7.1	0.5949
Idaho Falls_09	20.7	25.074	0.603	5.55	0.2681
Idaho Falls_09	32.004	27.738	2.664	0.19	0.0059
Idaho Falls_09	16.74	24.714	3.024	6.17	0.3686
Idaho Falls_09	19.008	23.292	1.422	6.98	0.3672
Idaho Falls_09	25.308	20.646	2.646	0.2	0.0079
Idaho Falls_09	36.702	24.795	4.149	0.02	5e-04
Idaho Falls_09	31.932	35.514	10.719	0	0
Idaho Falls_09	31.266	37.107	1.593	0.05	0.0016
Idaho Falls_09	22.374	29.727	7.38	5.83	0.2606
Idaho Falls_09	31.464	27.612	2.115	0	0
Idaho Falls_09	33.3	32.4	4.788	0	0
Idaho Falls_09	36.666	37.179	4.779	0	0
Idaho Falls_09	31.482	39.699	2.52	0.13	0.0041
Idaho Falls_09	25.128	39.942	0.243	0.96	0.0382
Idaho Falls_09	27.738	37.611	2.331	2.33	0.084
Idaho Falls_09	21.06	33.228	4.383	4.96	0.2355
Idaho Falls_09	19.638	32.841	0.387	3.99	0.2032
Idaho Falls_09	29.592	36.414	3.573	0.73	0.0247
Idaho Falls_09	28.602	36.981	0.567	0	0
Idaho Falls_09	29.394	34.641	2.34	0	0
Idaho Falls_09	24.912	29.232	5.409	0.06	0.0024
Idaho Falls_09	31.122	28.881	0.351	0.1	0.0032
Idaho Falls_09	33.948	33.966	5.085	0.01	3e-04
Idaho Falls_09	29.268	39.438	5.472	0.05	0.0017
Idaho Falls_09	30.222	42.183	2.745	1.18	0.039
Idaho Falls_09	22.158	28.791	13.392	0.31	0.014
Idaho Falls_09	30.15	28.071	0.72	0.04	0.0013
Idaho Falls_09	33.282	34.137	6.066	0	0
Idaho Falls_09	31.986	39.393	5.256	0.06	0.0019
Idaho Falls_09	32.094	42.453	3.06	0.09	0.0028
Idaho Falls_09	31.932	45.054	2.601	0.09	0.0028
Idaho Falls_09	29.142	44.379	0.675	0.21	0.0072
Idaho Falls_09	29.88	37.656	6.723	0.01	3e-04
Idaho Falls_09	33.498	40.095	2.439	0.07	0.0021
Idaho Falls_09	31.068	43.38	3.285	0	0
Idaho Falls_09	34.272	45.378	1.998	0.01	3e-04
Idaho Falls_09	22.752	44.046	1.332	0.53	0.0233
Idaho Falls_09	30.006	42.921	1.125	0.85	0.0283
Idaho Falls_09	30.78	42.732	0.189	1.92	0.0624
Idaho Falls_09	22.464	37.008	5.724	0.39	0.0174
Idaho Falls_09	28.836	35.424	1.584	0.13	0.0045
Idaho Falls_09	23.22	33.876	1.548	0.08	0.0034
Idaho Falls_09	29.556	33.246	0.63	0.13	0.0044
Idaho Falls_09	29.61	36.081	2.835	0.04	0.0014
Idaho Falls_09	30.708	39.402	3.321	0	0
Idaho Falls_09	32.526	42.363	2.961	0.11	0.0034
Idaho Falls_09	29.79	43.407	1.044	0.36	0.0121
Idaho Falls_09	31.284	42.066	1.341	0.16	0.0051
Idaho Falls_09	31.014	40.887	1.179	0.86	0.0277
Idaho Falls_09	33.93	38.691	2.196	1.32	0.0389
Idaho Falls_09	24.12	27.954	10.737	0.68	0.0282
Idaho Falls_09	14.094	19.395	8.559	2.42	0.1717
Idaho Falls_09	29.034	25.821	6.426	0.11	0.0038
Idaho Falls_09	30.6	32.274	6.453	0	0
Idaho Falls_09	33.246	37.179	4.905	0	0
Idaho Falls_09	33.84	41.22	4.041	0.03	9e-04
Idaho Falls_09	28.674	39.231	1.989	0.04	0.0014
Idaho Falls_09	27.756	33.03	6.201	0.15	0.0054
Idaho Falls_09	19.854	26.685	6.345	0.23	0.0116
Idaho Falls_09	20.358	24.183	2.502	0.31	0.0152
Idaho Falls_09	27.414	27.351	3.168	0.03	0.0011
Idaho Falls_09	25.038	33.237	5.886	0.08	0.0032
Idaho Falls_09	31.23	34.713	1.476	0	0
Idaho Falls_09	34.614	38.925	4.212	0.06	0.0017
Idaho Falls_09	37.458	42.813	3.888	0.02	5e-04
Idaho Falls_09	30.618	44.469	1.656	0	0
Idaho Falls_09	13.914	31.707	12.762	11.79	0.8473
Idaho Falls_09	21.978	32.751	1.044	1.8	0.0819
Idaho Falls_09	27.162	33.777	1.026	0.02	7e-04
Idaho Falls_09	31.914	37.035	3.258	0.01	3e-04
Idaho Falls_09	30.582	40.617	3.582	0	0
Idaho Falls_09	35.928	38.952	1.665	0	0
Idaho Falls_09	25.704	38.034	0.918	0.18	0.007
Idaho Falls_09	25.65	36.747	1.287	0.39	0.0152
Idaho Falls_09	21.33	34.965	1.782	0.46	0.0216
Idaho Falls_09	31.122	38.835	3.87	0.11	0.0035
Idaho Falls_09	27.324	41.148	2.313	0.09	0.0033
Idaho Falls_09	28.854	41.715	0.567	0	0
Idaho Falls_09	29.844	40.014	1.701	0.02	7e-04
Idaho Falls_09	25.65	39.159	0.855	0.06	0.0023
Idaho Falls_09	24.3	39.564	0.405	0.08	0.0033
Idaho Falls_09	23.958	28.341	11.223	0.08	0.0033
Idaho Falls_09	28.782	24.003	4.338	0.01	3e-04
Idaho Falls_09	37.062	30.537	6.534	0.02	5e-04
Idaho Falls_09	30.672	36.09	5.553	0.05	0.0016
Idaho Falls_09	30.942	33.525	2.565	0	0
Idaho Falls_09	30.15	30.303	3.222	0	0
Idaho Falls_09	36.972	31.41	1.107	0.12	0.0032
Idaho Falls_09	23.472	35.19	3.78	4.97	0.2117
Idaho Falls_09	24.462	32.139	3.051	0.79	0.0323
Idaho Falls_09	25.542	34.389	2.25	0	0
Idaho Falls_09	29.7	35.568	1.179	0	0
