env_code	DTR	GDD	dGDD	PR	PRDTR
Rupert_12	25.092	7.974	0	0	0
Rupert_12	31.122	13.455	5.481	0.26	0.0084
Rupert_12	20.286	9.756	3.699	0	0
Rupert_12	18.882	6.453	3.303	0.05	0.0026
Rupert_12	15.408	4.401	2.052	0.32	0.0208
Rupert_12	30.42	11.277	6.876	0.28	0.0092
Rupert_12	35.946	17.604	6.327	0.1	0.0028
Rupert_12	35.982	21.501	3.897	0	0
Rupert_12	34.452	24.39	2.889	0	0
Rupert_12	27.63	23.085	1.305	0.88	0.0318
Rupert_12	17.28	12.888	10.197	1.49	0.0862
Rupert_12	15.3	9.792	3.096	0.95	0.0621
Rupert_12	27.054	14.949	5.157	0.12	0.0044
Rupert_12	20.574	10.071	4.878	0	0
Rupert_12	24.354	11.475	1.404	1.21	0.0497
Rupert_12	22.68	17.838	6.363	0.73	0.0322
Rupert_12	12.474	15.093	2.745	2.24	0.1796
Rupert_12	21.906	14.949	0.144	0.9	0.0411
Rupert_12	28.764	22.266	7.317	0.04	0.0014
Rupert_12	33.606	28.449	6.183	0	0
Rupert_12	35.658	33.633	5.184	0	0
Rupert_12	33.678	36.657	3.024	0.34	0.0101
Rupert_12	24.678	33.705	2.952	0.05	0.002
Rupert_12	22.41	33.129	0.576	0.57	0.0254
Rupert_12	28.422	18.009	15.12	12.72	0.4475
Rupert_12	15.948	6.615	11.394	2.69	0.1687
Rupert_12	28.53	11.808	5.193	0.13	0.0046
Rupert_12	26.514	14.319	2.511	0	0
Rupert_12	24.552	20.61	6.291	0.79	0.0322
Rupert_12	22.518	14.805	5.805	0.12	0.0053
Rupert_12	24.444	12.636	2.169	0.1	0.0041
Rupert_12	14.166	15.633	2.997	1.1	0.0777
Rupert_12	23.94	16.83	1.197	0.24	0.01
Rupert_12	21.168	9.702	7.128	0.26	0.0123
Rupert_12	31.248	13.185	3.483	0	0
Rupert_12	33.642	16.812	3.627	0	0
Rupert_12	32.436	24.858	8.046	0	0
Rupert_12	35.01	30.519	5.661	0	0
Rupert_12	26.172	18.054	12.465	0.02	8e-04
Rupert_12	32.778	16.425	1.629	0.03	9e-04
Rupert_12	31.608	21.69	5.265	0	0
Rupert_12	31.824	28.926	7.236	0	0
Rupert_12	36.396	32.166	3.24	0	0
Rupert_12	32.022	36.099	3.933	0	0
Rupert_12	29.448	36.81	0.711	0	0
Rupert_12	24.876	28.314	8.496	0.15	0.006
Rupert_12	25.11	21.825	6.489	0.32	0.0127
Rupert_12	30.15	21.159	0.666	0.01	3e-04
Rupert_12	32.67	31.635	10.476	0	0
Rupert_12	37.854	38.061	6.426	0	0
Rupert_12	20.718	24.111	13.95	0.24	0.0116
Rupert_12	19.404	17.73	6.381	0.22	0.0113
Rupert_12	20.07	14.265	3.465	0.93	0.0463
Rupert_12	26.784	19.476	5.211	3.55	0.1325
Rupert_12	21.456	18.666	0.81	13.19	0.6147
Rupert_12	15.102	14.895	3.771	5.85	0.3874
Rupert_12	32.436	21.204	6.309	0	0
Rupert_12	31.32	28.98	7.776	0	0
Rupert_12	23.364	26.37	2.61	0	0
Rupert_12	30.978	31.671	5.301	0	0
Rupert_12	31.14	36.54	4.869	0	0
Rupert_12	25.704	39.06	2.52	0.09	0.0035
Rupert_12	31.266	38.763	0.297	0.06	0.0019
Rupert_12	39.708	40.212	1.449	0.01	3e-04
Rupert_12	17.442	16.875	23.337	5.93	0.34
Rupert_12	25.56	15.786	1.089	0.02	8e-04
Rupert_12	35.658	24.525	8.739	0.16	0.0045
Rupert_12	27.954	26.451	1.926	0.25	0.0089
Rupert_12	11.628	12.942	13.509	1.7	0.1462
Rupert_12	29.178	18.369	5.427	0.01	3e-04
Rupert_12	31.122	26.415	8.046	0	0
Rupert_12	30.816	35.784	9.369	0	0
Rupert_12	24.552	31.608	4.176	0	0
Rupert_12	29.718	31.563	0.045	0	0
Rupert_12	29.106	31.113	0.45	0.06	0.0021
Rupert_12	34.578	34.533	3.42	0	0
Rupert_12	35.748	39.888	5.355	0	0
Rupert_12	28.872	30.366	9.522	0.05	0.0017
Rupert_12	24.642	21.627	8.739	0.23	0.0093
Rupert_12	34.038	25.893	4.266	0.03	9e-04
Rupert_12	41.634	35.829	9.936	0	0
Rupert_12	34.092	40.158	4.329	0	0
Rupert_12	39.6	39.708	0.45	0.06	0.0015
Rupert_12	39.276	42.408	2.7	0	0
Rupert_12	35.676	44.334	1.926	0.04	0.0011
Rupert_12	23.238	27.639	16.695	0.3	0.0129
Rupert_12	39.528	31.608	3.969	0	0
Rupert_12	40.374	42.219	10.611	0	0
Rupert_12	33.084	41.994	0.225	0	0
Rupert_12	36.018	44.775	2.781	0	0
Rupert_12	28.566	40.509	4.266	0	0
Rupert_12	34.524	43.074	2.565	0	0
Rupert_12	26.244	39.564	3.51	0	0
Rupert_12	38.664	40.41	0.846	0	0
Rupert_12	15.948	36.666	3.744	2.46	0.1543
Rupert_12	32.706	40.887	4.221	0.52	0.0159
Rupert_12	32.076	46.368	5.481	0.36	0.0112
Rupert_12	30.78	48.204	1.836	0.71	0.0231
Rupert_12	33.444	48.168	0.036	0.4	0.012
Rupert_12	33.588	49.707	1.539	0.53	0.0158
Rupert_12	29.43	49.392	0.315	0.21	0.0071
Rupert_12	37.602	47.556	1.836	0.02	5e-04
Rupert_12	16.416	42.192	5.364	1.8	0.1096
Rupert_12	19.44	38.988	3.204	9.04	0.465
Rupert_12	28.314	39.879	0.891	0.27	0.0095
Rupert_12	17.802	39.015	0.864	5.12	0.2876
Rupert_12	30.654	43.047	4.032	0.01	3e-04
Rupert_12	33.03	43.479	0.432	0.01	3e-04
Rupert_12	30.942	45.063	1.584	0.14	0.0045
Rupert_12	31.77	47.763	2.7	0	0
Rupert_12	30.672	47.538	0.225	0.45	0.0147
Rupert_12	24.048	49.032	1.494	2.87	0.1193
Rupert_12	20.214	45.657	3.375	0.06	0.003
Rupert_12	22.95	44.703	0.954	0.58	0.0253
Rupert_12	31.032	45.036	0.333	0	0
Rupert_12	35.406	47.34	2.304	0.04	0.0011
Rupert_12	30.204	49.338	1.998	0.02	7e-04
Rupert_12	31.248	47.799	1.539	0.03	0.001
Rupert_12	35.622	46.233	1.566	0	0
Rupert_12	36.864	47.349	1.116	0	0
Rupert_12	32.49	47.628	0.279	0.06	0.0018
Rupert_12	31.572	47.268	0.36	0.12	0.0038
Rupert_12	29.7	43.812	3.456	0.16	0.0054
Rupert_12	29.142	40.365	3.447	0	0
Rupert_12	33.786	42.399	2.034	0	0
Rupert_12	36.72	46.413	4.014	0.06	0.0016
Rupert_12	26.748	48.78	2.367	0.04	0.0015
Rupert_12	35.082	47.259	1.521	0	0
Rupert_12	30.618	49.554	2.295	0	0
Rupert_12	29.106	50.346	0.792	0	0
Rupert_12	24.372	46.062	4.284	3	0.1231
Rupert_12	29.106	44.289	1.773	0	0
Rupert_12	33.012	46.566	2.277	0	0
Rupert_12	27.504	47.718	1.152	0.01	4e-04
Rupert_12	34.56	46.125	1.593	0.02	6e-04
Rupert_12	27.216	48.258	2.133	0.15	0.0055
Rupert_12	33.39	43.029	5.229	0.02	6e-04
Rupert_12	33.21	44.649	1.62	0.07	0.0021
Rupert_12	30.366	44.919	0.27	0	0
Rupert_12	19.584	41.13	3.789	0.21	0.0107
Rupert_12	29.736	41.202	0.072	0	0
Rupert_12	31.986	45.279	4.077	1.66	0.0519
Rupert_12	28.278	43.497	1.782	0	0
Rupert_12	31.734	43.029	0.468	0	0
Rupert_12	27.882	37.089	5.94	0	0
Rupert_12	36.99	38.205	1.116	0.05	0.0014
Rupert_12	31.41	44.613	6.408	2.52	0.0802
Rupert_12	32.994	46.089	1.476	0	0
Rupert_12	34.92	46.143	0.054	0.1	0.0029
Rupert_12	26.19	39.285	6.858	0	0
