env_code	DTR	GDD	dGDD	PR	PRDTR
Soda Springs_11	16.146	8.073	0	0.15	0.0093
Soda Springs_11	17.586	8.433	0.36	2.95	0.1677
Soda Springs_11	18.252	10.368	1.935	2.27	0.1244
Soda Springs_11	17.118	12.645	2.277	2.56	0.1496
Soda Springs_11	25.11	16.155	3.51	0.32	0.0127
Soda Springs_11	17.172	17.514	1.359	0.66	0.0384
Soda Springs_11	19.98	17.064	0.45	7.27	0.3639
Soda Springs_11	10.98	11.322	5.742	10.53	0.959
Soda Springs_11	27.144	14.976	3.654	0.1	0.0037
Soda Springs_11	15.084	6.246	8.73	1.6	0.1061
Soda Springs_11	23.184	8.721	2.475	2.42	0.1044
Soda Springs_11	20.286	9.693	0.972	2.63	0.1296
Soda Springs_11	15.192	7.371	2.322	10.42	0.6859
Soda Springs_11	13.95	6.291	1.08	9.79	0.7018
Soda Springs_11	33.912	15.318	9.027	0.08	0.0024
Soda Springs_11	28.584	22.176	6.858	0.03	0.001
Soda Springs_11	19.494	9.405	12.771	0.07	0.0036
Soda Springs_11	28.476	12.951	3.546	0.05	0.0018
Soda Springs_11	37.368	21.366	8.415	0	0
Soda Springs_11	32.814	26.415	5.049	0	0
Soda Springs_11	30.726	26.829	0.414	3.58	0.1165
Soda Springs_11	15.228	18.486	8.343	5.19	0.3408
Soda Springs_11	25.794	18.099	0.387	5.28	0.2047
Soda Springs_11	17.406	8.919	9.18	8.82	0.5067
Soda Springs_11	34.02	16.785	7.866	0.83	0.0244
Soda Springs_11	25.254	21.231	4.446	2.36	0.0935
Soda Springs_11	19.764	19.368	1.863	7.55	0.382
Soda Springs_11	16.47	20.565	1.197	4.5	0.2732
Soda Springs_11	27.756	20.862	0.297	0.17	0.0061
Soda Springs_11	30.042	24.021	3.159	0.25	0.0083
Soda Springs_11	17.928	11.556	12.465	0.27	0.0151
Soda Springs_11	32.832	15.597	4.041	0	0
Soda Springs_11	26.568	22.428	6.831	4.43	0.1667
Soda Springs_11	17.01	18.675	3.753	7.02	0.4127
Soda Springs_11	26.064	20.52	1.845	0.07	0.0027
Soda Springs_11	29.592	26.1	5.58	0	0
Soda Springs_11	31.77	29.043	2.943	0.33	0.0104
